"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"LTE2_UP.V1_DN","LTE2_UP.V1_DN","LTE2_UP.V1_DN","130/5109","195/10922",1.28153105557837e-08,2.20190335913012e-07,1.56972224989504e-07,"5577/3909/5610/64761/841/1265/6672/3430/51083/771/55183/10795/8829/3956/25939/182/11201/9949/2000/7980/857/2887/6505/2218/9830/3959/4940/4256/10486/8614/3280/64135/2202/2274/7456/1647/23314/1475/79365/3397/2537/6049/25913/1123/863/684/4147/51761/1024/6658/1837/8638/51131/9314/7020/306/347902/9818/9107/3480/5046/29919/5366/185/4651/3547/7357/9536/4851/11098/23657/2674/5796/1105/27295/6782/29761/6566/1844/8365/79982/4886/22836/10395/2852/2669/4783/94134/9317/1381/89797/6890/11031/23255/4071/1826/596/221037/794/22843/6197/23283/1960/8204/8334/23236/11274/57419/3665/3434/8519/54737/9687/51427/7699/9612/8969/6840/54898/10793/7637/7594/22876/26046/55366/23089/10443/11254/8339/8357",130
"TBK1.DF_DN","TBK1.DF_DN","TBK1.DF_DN","178/5109","286/10922",7.34473605550295e-08,1.15679592874171e-06,8.24672118512612e-07,"996/79657/55703/23376/23633/8439/26009/23274/26064/54908/51773/10198/28996/2773/9748/865/10640/490/27125/10512/83737/5050/55183/6595/55322/25978/57613/51701/51650/23468/4436/9766/7443/9949/688/5611/55284/7993/3198/55149/22943/7019/6198/51747/51809/595/10114/51026/3157/4001/10007/4090/23527/3694/2591/9173/23683/4548/6018/5929/9928/8609/894/22936/3416/79646/4801/11019/11130/79183/8202/10564/56937/23326/51141/23767/3895/79717/55320/6535/7014/9475/60560/26298/5270/10253/51133/3557/56886/4957/7094/4750/2542/7057/102/54874/55032/29766/55435/51138/839/55500/9818/663/1039/114876/5366/8543/2803/54904/2040/9536/79980/54842/2697/55364/528/1836/55005/1633/571/23049/26060/10020/55450/79982/80155/3673/2957/5092/8065/2801/1398/29123/51129/3660/10098/59339/3987/51621/2353/55038/84864/167227/51134/3267/5936/55279/9134/7525/10949/50628/1104/8204/10159/6734/29110/23466/3434/6256/7003/57698/3006/1287/4128/4646/4763/6584/5154/4155/23607/65124/9747/23137/6048/26065/8148/84726",178
"CSR_LATE_UP.V1_UP","CSR_LATE_UP.V1_UP","CSR_LATE_UP.V1_UP","110/5109","166/10922",2.68655200369874e-07,3.70672180025673e-06,2.64249730121337e-06,"54443/10953/55706/5424/865/9319/9138/3835/2280/332/51726/3655/63967/990/8317/7078/10598/4522/4605/22919/81610/6611/7076/84056/4150/2997/4233/8662/2146/27075/4927/91057/6484/3875/2305/4172/51053/896/7372/10056/3749/4053/11130/5393/4502/84266/8089/7277/3092/10606/8520/7283/6627/1984/84250/8553/55143/26586/86/92856/25844/6941/10113/9123/1580/83540/29114/54107/140459/26091/4314/7424/93081/6921/112495/51728/10611/285761/195828/5702/84798/55872/1841/2237/3575/55276/983/3814/5036/81831/79801/1503/6241/11065/5708/10589/55884/2193/79077/64785/11200/2175/26155/51155/3146/4828/5557/7169/29902/29128",110
"STK33_NOMO_UP","STK33_NOMO_UP","STK33_NOMO_UP","178/5109","290/10922",2.93861605302367e-07,3.70672180025673e-06,2.64249730121337e-06,"6296/6482/9690/55727/8491/10771/25897/10863/4254/1316/602/5774/9891/28962/9706/57613/23645/25977/3383/55105/8829/11015/3162/9321/23253/22862/55284/10135/26959/3984/55664/1326/4013/24145/3587/4891/2651/135114/57561/80315/604/7474/6364/90/80219/3554/8942/390/2034/5997/57568/8564/2635/23673/6446/1843/5328/1959/60673/139231/6385/54210/1948/3553/79717/30817/7538/9732/9518/23558/85451/54453/5738/2012/10228/6041/51133/7280/8870/1847/10144/22822/9990/55917/6016/149111/388/79137/64651/57552/817/115265/54532/2768/84159/3176/55293/5756/143384/2697/25780/51128/10461/200014/23362/114907/57728/2005/8867/6781/7673/8878/11282/127943/284996/1293/8320/2919/94234/153222/81501/19/220213/143279/221079/161742/8879/4319/84419/64400/1398/90007/3575/3667/2353/9778/9788/3726/7857/9915/79660/10333/22845/2/7525/157807/79605/7056/1960/54813/10472/144811/9966/23705/7378/23764/57419/285513/677/151011/84981/84458/4312/55684/150737/1612/3914/57162/92689/444/2673/201475/5534/283131/168455/8693/8139/8339",178
"PRC2_EED_DN.V1_DN","PRC2_EED_DN.V1_DN","PRC2_EED_DN.V1_DN","125/5109","193/10922",2.94184269861645e-07,3.70672180025673e-06,2.64249730121337e-06,"6853/55727/7869/4007/10460/23649/25897/9967/10188/5424/9351/55388/11186/4171/2355/3991/51006/55663/790/4998/8438/57192/24137/63967/8318/23511/2289/6319/126353/27037/8940/3162/4174/80339/5905/4605/11151/65009/9013/7249/10295/55723/333/27113/25789/768/2584/8825/2735/2026/5144/51294/5210/2771/5129/64858/2733/3070/2185/64794/7517/50809/54795/23404/84951/54496/55643/55143/9415/64780/3300/9394/4957/9493/409/22994/9064/3707/10318/9258/26007/3619/2241/7402/5261/701/8208/23400/4047/11182/9401/80174/80178/51005/3625/5364/23132/1849/79778/81501/29763/5598/5347/10449/4597/2194/55222/79834/5091/3728/55690/55057/11145/8325/26233/3638/5365/10919/7407/81890/6494/8906/79680/5098/115290",125
"CAMP_UP.V1_DN","CAMP_UP.V1_DN","CAMP_UP.V1_DN","128/5109","199/10922",3.77420253848661e-07,4.4582767485873e-06,3.17827582188346e-06,"221981/3720/3423/330/2530/7077/1112/10079/57602/639/493/6894/6515/1975/4199/490/9448/10129/3566/6626/3320/9689/3301/8655/23231/7430/3983/23481/5594/23551/394/4773/8848/65009/7082/10397/54758/3783/57030/9644/57178/7343/27346/3312/2026/57515/60468/5210/2744/3488/3398/894/9991/5047/10396/6239/9208/5911/2354/3704/7277/7538/9590/4628/301/64114/80727/6812/347733/23344/162427/473/55827/817/5066/78991/6129/9231/1977/667/56978/23576/2776/10069/2114/65018/162989/196264/6427/113802/6565/55536/2669/840/92181/10963/11031/3575/10098/3094/84640/26115/5569/55669/83660/55970/1605/6599/253959/9920/51363/7325/8303/4674/27445/3638/613/4673/26059/10383/23365/57162/801/3303/7917/134111/10381/80022",128
"STK33_UP","STK33_UP","STK33_UP","174/5109","285/10922",6.59514689546092e-07,7.33225154848302e-06,5.2271133289102e-06,"7035/6296/928/55727/8491/10771/25897/10863/4254/1316/602/79901/27125/9891/28962/23645/25977/3383/55105/8829/3162/23002/9321/23253/22862/90427/55284/64089/7980/10135/26959/3955/3984/55664/64115/4013/24145/3587/1027/135114/11120/1839/57561/80315/604/7474/90/80219/8942/390/127544/5997/57568/8564/2635/23673/6446/1843/29103/1958/5328/1959/54210/1026/6310/3553/79717/7538/9732/9518/23558/85451/54453/9398/2012/301/948/5570/10228/132864/54874/1847/26035/22822/10161/145389/9990/597/123920/29922/6016/149111/388/65065/64651/57552/54532/9586/133/84159/3176/23657/5756/283635/196394/143384/2697/25780/51351/200014/389/142891/57728/8867/6781/7673/8878/284996/9076/1293/201895/2919/92255/94234/153222/94241/19/137835/220213/221079/161742/84419/64400/1398/90007/2353/9306/9788/3726/7857/10221/10333/157807/56975/7056/1960/54813/10472/8334/283554/9966/7378/1850/23764/285513/677/151011/84981/84458/55959/4312/150737/1612/8356/57162/444/2673/201475/5534/7124/168455/8693/8139/8339",174
"RB_P107_DN.V1_UP","RB_P107_DN.V1_UP","RB_P107_DN.V1_UP","88/5109","130/10922",1.04616512073391e-06,1.0984733767706e-05,7.83094359379767e-06,"5982/5424/4171/51512/645/24137/23594/8318/4174/5427/10732/994/1869/55723/898/3978/94239/6119/7306/3959/1277/975/5985/51053/55120/3925/6118/1843/23397/10549/64105/1017/4016/79733/1028/140700/1289/7283/6117/5111/29107/5983/6941/11270/1763/5371/4240/60681/1291/1292/5558/84296/3619/116372/120224/64946/8208/256126/899/124222/2199/4085/2200/4176/348093/6240/2237/284004/6241/6623/9134/5426/633/3932/18/10078/10572/5757/51393/2175/6275/5557/11169/3151/9937/84501/23234/1719",88
"E2F1_UP.V1_DN","E2F1_UP.V1_DN","E2F1_UP.V1_DN","119/5109","187/10922",2.15455462251868e-06,2.14321486134753e-05,1.52788361042876e-05,"51474/2065/489/3991/5742/3983/1153/339665/7494/10484/23613/57761/65009/6810/6505/6945/51274/81622/6484/1374/4891/23195/2690/3157/604/6242/10297/1796/3554/9173/5321/1647/5997/2152/57035/54996/6446/894/7043/60370/84947/3709/9367/6590/6615/860/718/101410538/435/53947/84962/23149/140700/6535/50717/272/4853/301/57224/26056/10010/4609/4926/1545/3417/5530/22822/115825/29919/9213/4170/57007/55502/26018/64332/10769/90933/123/2040/3606/2059/2674/8703/2634/824/80232/323/2919/80149/153222/6619/6778/51129/7148/6774/11346/10869/253558/81490/57804/9659/55076/5912/1435/10509/22821/7328/51399/961/160760/307/29950/104/955/7052/3133/790955/1945/283131",119
"CAMP_UP.V1_UP","CAMP_UP.V1_UP","CAMP_UP.V1_UP","126/5109","200/10922",2.36317228698327e-06,2.23319781119919e-05,1.59203185649399e-05,"292/211/3309/25875/29927/57609/55062/4799/23645/16/22861/51310/8086/6732/171568/1209/6142/11316/7980/95681/5193/23321/9693/506/22818/10475/3313/80315/23007/6747/55683/51011/3069/10625/8674/51569/64374/64786/4835/4502/11190/83667/55829/7818/57511/55748/80017/517/4711/4609/51754/23070/10211/29088/89941/112483/5366/10410/8991/10456/375/29920/29926/92399/226/3192/23043/51582/5018/6396/4720/84134/25946/54987/4116/1293/476/25898/6184/3148/4085/195828/122769/64745/57447/115708/1381/81565/7184/5479/2923/81605/90007/10036/4723/10768/3576/3987/2353/5036/1798/10524/2745/26996/9416/8607/9659/9500/54494/10193/9798/7378/254887/54732/5034/8519/9361/5557/89894/548596/60674/9674/23559/2119/27350/552889",126
"ERBB2_UP.V1_DN","ERBB2_UP.V1_DN","ERBB2_UP.V1_DN","124/5109","197/10922",3.0289187911508e-06,2.72602691203572e-05,1.94336644244262e-05,"56603/6542/79657/5577/8491/55635/55236/6873/51018/55183/5205/4528/22996/3912/4436/3983/51012/23253/11201/7980/857/2218/23189/9126/64151/10635/4256/9847/26271/7272/1894/64135/23301/2274/3398/7456/54955/50999/4602/80264/6491/81579/2537/51309/684/1968/4147/29889/64844/51133/4609/26953/9411/6741/6744/306/1062/839/347902/10150/3480/55197/29919/54877/5366/10733/51514/51454/2803/26018/79624/84909/60496/2674/26353/1070/1105/9653/7071/6782/1836/7074/51001/79982/4085/4886/80155/22836/9263/10395/2852/8065/11031/23255/8754/3667/9022/4071/596/51030/794/253959/23015/80010/1960/8204/3665/4603/3434/10308/9687/51427/112479/25788/55035/7637/7594/22876/26046/29902/65986/79441/23089/11254",124
"P53_DN.V1_UP","P53_DN.V1_UP","P53_DN.V1_UP","121/5109","194/10922",7.63069843315809e-06,6.55546365394036e-05,4.67334640882409e-05,"22875/928/2534/4052/1112/5307/8218/2011/10529/5794/10403/1832/51100/126353/23002/2000/6102/688/57214/11339/25999/51599/4232/10551/196/22943/374/1363/3875/8099/5467/202/5754/7433/2202/2274/4610/2152/5493/4072/847/10124/5328/26994/6385/1948/3659/6662/7408/7277/4016/1032/5468/10267/3691/51308/22800/8536/4212/1824/301/2752/10253/9805/10413/8412/26509/51196/8915/26018/10184/7162/1956/6567/7739/133/3606/51232/3628/9910/23057/26053/563/9249/7398/3625/2199/323/6286/3673/10085/2898/1365/558/10653/3816/3489/7001/136/7857/3913/10524/1474/7525/254531/56998/161291/4070/23764/7026/169611/4312/4217/1305/51710/10497/5268/8420/100133941/5645/3012",121
