"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GSE15750_DAY6_VS_DAY10_EFF_CD8_TCELL_UP","GSE15750_DAY6_VS_DAY10_EFF_CD8_TCELL_UP","GSE15750_DAY6_VS_DAY10_EFF_CD8_TCELL_UP","160/8334","200/21355",1.31956704362209e-32,6.76673979969407e-29,1.11260337046452e-29,"672/55635/7431/54908/54165/5888/10721/55388/259266/3422/55771/3161/4171/54962/51512/10615/7419/3835/10403/8438/6790/22974/332/8318/990/9342/79019/4174/1033/9837/4605/81610/5422/5230/2491/55313/11339/54928/6674/55723/3978/6119/55247/7468/64151/10635/26271/51053/7272/10112/1058/2274/23178/991/3925/4751/25936/3070/23397/10549/10376/6491/1164/4502/7533/90417/54478/151648/51659/7153/63979/55143/9700/79621/26586/7295/10592/10541/79075/51645/6941/9493/57082/3832/55165/1763/55345/1062/2098/81624/81631/11004/83540/65005/285362/57405/5796/64946/220134/135228/701/9133/995/124801/29127/147841/10092/57650/151246/4085/501/9833/254170/221150/122769/144455/3419/9866/55839/4176/9768/5347/6240/7083/55872/5049/2237/150468/699/983/79801/157570/6241/1163/2745/5707/11065/79915/83903/143888/9212/389362/3838/348235/5367/128239/9735/51065/55010/4603/146909/401541/25788/219844/9824/387103/54492/1719/387882/29128",160
"GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP","GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP","GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP","157/8334","200/21355",2.91762826632281e-30,7.48079887485168e-27,1.23001065332872e-27,"54443/10460/55635/3149/54908/5888/54969/55749/55388/259266/55771/3796/3161/51512/10615/3835/56650/334/4998/6790/22974/332/24137/7430/63967/8318/990/23468/2289/9342/5594/79019/1033/4605/51012/5422/2491/6713/3978/2887/22949/64151/2305/10635/5985/83461/4172/7272/10112/1894/1058/23178/3925/4751/25936/1063/23397/64105/10376/6491/1026/4502/90417/1854/79733/54478/55320/7153/5111/84722/79621/26586/83990/10592/6941/9493/57082/55165/9585/1763/1062/80119/90381/4259/83540/51514/2177/890/113115/113130/54892/27316/4288/3619/1111/57405/64946/57407/220134/119392/701/9133/995/1465/51673/29127/147841/899/57650/3148/4085/3673/55536/9833/221150/122769/144455/55839/5347/6240/7083/55872/2237/293/11238/150468/699/983/4534/79801/157570/6241/1163/9156/11065/9793/5426/7334/4291/348654/9212/5367/157313/51065/55010/146909/347240/10383/401541/340277/92689/5557/9824/1719/55052/11276/29128",157
"GSE39556_CD8A_DC_VS_NK_CELL_MOUSE_3H_POST_POLYIC_INJ_UP","GSE39556_CD8A_DC_VS_NK_CELL_MOUSE_3H_POST_POLYIC_INJ_UP","GSE39556_CD8A_DC_VS_NK_CELL_MOUSE_3H_POST_POLYIC_INJ_UP","156/8334","200/21355",1.66230241673727e-29,2.84142893100958e-26,4.67194468704055e-27,"996/81691/5577/672/637/2273/3149/27067/4734/9319/6596/3161/51512/10615/3835/10403/51668/1741/231/6790/22974/26227/1808/8318/990/11332/8317/1690/5427/1033/4522/7443/9837/5422/11339/6788/898/3978/4521/9126/3959/2305/10635/5985/8914/7272/2030/10051/7372/1058/55120/3398/2582/991/8503/4751/9928/7112/23397/11130/11113/1031/1017/6491/1164/1434/9787/9088/10606/10038/157922/10298/7283/7153/8546/5983/891/79022/1643/10024/9700/10200/3936/7295/8836/2542/9493/3832/9585/1763/580/4664/1062/3033/90141/11001/55215/22994/127703/10733/11004/81611/890/6502/5558/1111/23310/5213/9653/4900/2776/93594/701/9133/171586/995/7791/5635/899/8833/5984/501/9833/3251/6240/10036/7083/1841/699/983/3892/5569/6241/27235/1163/10276/9156/9134/146691/5426/2629/9582/90355/3838/11200/9735/2175/10383/3014/7516/112479/641/5557/9824/2189/1719",156
"GSE13547_CTRL_VS_ANTI_IGM_STIM_BCELL_12H_UP","GSE13547_CTRL_VS_ANTI_IGM_STIM_BCELL_12H_UP","GSE13547_CTRL_VS_ANTI_IGM_STIM_BCELL_12H_UP","148/8334","187/21355",2.6173926211929e-29,3.35549734036929e-26,5.51718813046187e-27,"9918/672/10460/51177/55635/7431/3149/5888/259266/55771/3161/54820/51175/54962/10615/10403/8438/6790/22974/51433/332/24137/23594/79968/63967/8318/990/23468/2289/4174/1033/9837/79848/83988/4173/55723/898/11100/3978/22949/55247/64151/1374/10635/83461/26271/4172/7272/4001/7375/1894/2771/2274/3069/3925/1063/1509/9928/5537/3070/23397/10549/4502/9787/3092/813/1854/79733/55320/7905/151648/7153/63979/5983/55143/79621/26586/83990/10592/6941/23787/9493/57082/3832/55165/1763/1062/675/3687/83540/81611/890/4288/3619/1111/57405/64946/220134/129831/701/9133/995/8208/11243/29127/256126/147841/116064/151246/56648/56992/3148/4085/7415/122769/382/55839/4176/5347/6240/7083/55872/1876/699/220988/983/79801/157570/6241/1163/26471/79915/5426/9212/91663/64963/302/4603/8519/401541/307/4644/5557/7296/11169/9824/29128/6871",148
"GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_UP","GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_UP","GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_UP","153/8334","200/21355",2.58887971839235e-27,2.21262919931933e-24,3.63805728847768e-25,"4267/54443/672/10460/3149/54908/822/5888/8531/55388/259266/3422/5165/5597/54962/29089/2222/3835/5933/29887/6790/332/24137/8318/990/2289/8829/3956/7494/3002/5427/1033/5422/10397/6713/55723/3978/2146/10951/27346/10635/5985/83461/51522/51053/8724/64065/7272/10112/4001/1894/523/1058/2591/991/3925/4751/83982/1958/7112/4801/23397/1031/10549/3164/10376/1164/4502/718/9787/79733/55320/93974/7153/3958/5901/8553/2012/55143/301/79621/64215/7295/10592/6941/8836/9493/3832/1763/23710/3687/10410/757/10733/11004/7371/51514/6279/8560/890/80005/50808/4288/3619/1111/1622/1633/115817/9133/1844/995/8407/256126/899/57650/3015/4085/2669/9768/6240/84790/10036/7083/699/983/5272/4534/1184/6241/3669/1163/6599/11163/9793/7298/7334/9212/91663/3838/302/128239/10572/57697/3014/3005/6275/307/6281/5557/23636/1719/4067/10381",153
"GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_24H_UP","GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_24H_UP","GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_24H_UP","153/8334","200/21355",2.58887971839235e-27,2.21262919931933e-24,3.63805728847768e-25,"381/9043/3423/5238/2730/3309/9454/6916/6047/7030/23210/7419/6604/645/7430/9929/3162/9889/1033/8760/182/9658/22862/2184/2936/53635/10945/2887/7016/7763/10105/7343/10014/23321/7358/9600/5869/7167/51567/6428/7922/5252/2632/90/374291/80303/27013/3069/3241/4953/26003/6801/1386/4209/1647/23207/29855/1843/27161/1164/2181/79026/6238/826/8273/5447/8459/4189/1028/157922/11047/6249/6535/6533/4245/5468/2012/11014/10695/7280/3159/8412/22893/10939/6647/8804/6016/8560/388/7873/56929/9919/133/10525/3992/140710/2059/654/389/9601/26100/9114/4000/8878/9261/23429/8833/7086/256987/7534/7415/25820/440026/5598/81565/2801/6520/8623/23119/2353/9778/221037/10221/3265/8061/2810/8408/9792/90411/1728/302/84193/64061/677/10134/7328/84981/10383/3556/8227/444/2673/7296/9874/11153/7106/10626/9842/7844/9936/80301/154881/10381",153
"GSE36476_CTRL_VS_TSST_ACT_72H_MEMORY_CD4_TCELL_YOUNG_DN","GSE36476_CTRL_VS_TSST_ACT_72H_MEMORY_CD4_TCELL_YOUNG_DN","GSE36476_CTRL_VS_TSST_ACT_72H_MEMORY_CD4_TCELL_YOUNG_DN","150/8334","200/21355",3.1436468151897e-25,2.30294583832754e-22,3.78655804355932e-23,"292/23649/56938/3149/1495/63933/5888/10721/55388/259266/8243/3161/4171/10615/8438/6790/332/55760/4637/8318/990/11332/79019/4174/5427/1033/5641/5106/9371/5422/56061/55313/2184/11339/10049/7965/6119/7126/55247/64151/23603/9761/2305/10635/7421/83461/7167/26271/51053/7272/10112/57415/7372/1058/55120/3554/8458/991/3925/4602/23397/48/11130/10376/6491/1164/5690/192669/9787/10606/1854/51659/7283/7153/5111/891/79022/55143/25941/26519/3703/29923/9700/6426/7295/8836/26509/3832/55165/60490/1062/7453/55215/57707/11004/51514/4288/1111/79980/701/9133/79081/2135/56992/5984/79714/9232/2171/56935/4176/9768/10449/7171/84790/7083/29901/55872/5049/1841/2237/699/79801/5223/1503/6241/9158/1163/11065/9793/84617/7298/6888/81575/5198/1960/79077/9282/1728/2842/10293/71/5892/54821/2650/57209/2710/3303/90861/1719/3833",150
"HOWARD_NK_CELL_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_18_49YO_3DY_UP","HOWARD_NK_CELL_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_18_49YO_3DY_UP","HOWARD_NK_CELL_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_18_49YO_3DY_UP","66/8334","68/21355",7.93785847118176e-25,5.08816728002751e-22,8.36608504660077e-23,"1870/54443/10721/55388/259266/55771/51512/29089/22974/332/79019/4605/1869/4173/55723/898/26121/64151/10112/991/3925/1063/9928/23397/81930/11130/55355/9787/9088/79733/54478/7153/55143/10024/9700/9493/57082/1062/675/90381/11004/51514/890/113130/4288/79682/701/124222/56992/221150/144455/7083/150468/699/983/157570/6241/11065/7298/9212/9582/157313/146909/89958/374393/3833",66
"HARALAMBIEVA_PBMC_FLUARIX_AGE_50_74YO_CORR_WITH_28D_MEM_B_CELL_RESPONSE_AT_3DY_POSITIVE","HARALAMBIEVA_PBMC_FLUARIX_AGE_50_74YO_CORR_WITH_28D_MEM_B_CELL_RESPONSE_AT_3DY_POSITIVE","HARALAMBIEVA_PBMC_FLUARIX_AGE_50_74YO_CORR_WITH_28D_MEM_B_CELL_RESPONSE_AT_3DY_POSITIVE","240/8334","368/21355",1.249479065179e-24,7.11925405137549e-22,1.17056459790454e-22,"51330/55735/29116/3720/57476/7444/56938/54165/1112/23596/5610/5218/6515/9748/84679/57609/1659/602/5597/10420/23161/79041/57719/64778/2355/23152/23645/8570/2767/8812/3383/29888/387680/9889/3091/4792/22919/688/3839/8767/79815/55702/26959/3202/196/22841/8661/8030/5878/6945/55379/80273/79080/25906/56994/57515/135114/7803/7422/1839/23197/604/55233/3398/23207/3964/2117/8609/7128/8013/79646/1958/8795/6615/1026/6239/3553/58513/7538/64101/3748/57343/8546/51164/1024/9645/8553/51014/50640/6498/51133/150472/55627/9314/5695/8870/27314/4664/150864/153020/10427/83606/663/9960/2588/8844/22901/54877/4782/351/80110/26092/11221/375/127829/85403/64332/57721/56929/27242/2768/7357/85450/133/3619/25819/5756/143187/79691/6868/9412/50807/7071/6782/2776/115509/2114/84919/9592/23528/84838/51072/92703/151742/151987/80149/59343/57654/134429/22853/2669/4783/84270/118987/9188/55088/221079/5598/90007/51362/221749/23099/23119/55454/84640/5209/203062/4534/51523/221037/83452/6641/1051/253725/10524/49854/80311/253512/488/56945/388403/8061/22877/389072/1537/5187/144108/4261/727957/9792/122809/8204/1132/253832/92815/7262/2131/3838/2747/84206/23466/83999/4303/81931/54622/8660/23396/89958/80829/387763/3556/84458/9883/7678/9819/160760/57162/91373/197342/6884/415116/7405/26112/57154/4215/9867/90233/65986/1654/79716/56900/55853/81567/5098/147007/91056/8517/400818/11165/256302",240
"GSE36476_CTRL_VS_TSST_ACT_40H_MEMORY_CD4_TCELL_YOUNG_DN","GSE36476_CTRL_VS_TSST_ACT_40H_MEMORY_CD4_TCELL_YOUNG_DN","GSE36476_CTRL_VS_TSST_ACT_40H_MEMORY_CD4_TCELL_YOUNG_DN","148/8334","200/21355",6.7476532107079e-24,3.46019656645101e-21,5.68933707555477e-22,"292/672/23649/211/1495/63933/5888/55388/259266/7158/9319/8243/3161/4171/10615/7419/200081/8438/22974/332/24137/54517/8318/6732/11332/26517/79019/4174/5427/1033/5641/5106/55245/28231/11264/5422/6367/2184/23516/4173/898/3978/10049/7965/6119/64151/6539/8099/7421/83461/7167/10112/57415/7372/1058/3554/1718/2582/991/3925/9429/23397/10549/10376/55355/1164/10606/7533/1854/51659/7283/79228/7153/5111/891/79022/55143/3703/29923/9700/6426/7295/9493/26509/3832/55165/60490/1062/675/7453/6652/11004/7371/51514/55281/54892/4288/79682/220134/9133/995/29127/5984/79714/8645/2171/3251/4176/9768/84790/10036/7083/29901/1841/10963/2237/8427/5223/1503/6241/9158/1163/81839/11065/9793/9134/84617/7298/6470/6888/5198/9212/79077/1728/64785/71/5892/146909/2650/2175/203068/641/200734/28973/90861/2189/1719/55052",148
