"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"chr9q34","chr9q34","chr9q34","122/8624","317/40721",1.41823062178508e-12,4.04195727208748e-10,3.58289841293073e-10,"29085/954/23511/1384/10044/2022/203/23413/57582/8939/56654/23064/20/89891/5524/2733/5047/51116/1757/1621/64794/83543/286336/10439/157922/10422/1289/375775/23404/10585/83549/84929/56262/1025/4957/27348/64855/27090/6812/2356/6836/6834/6837/6130/9328/140459/80142/28989/114789/56904/84895/9536/57720/286257/9919/92715/4851/138151/54461/11093/11182/138162/26086/10444/84885/29941/9442/402381/169714/158067/138311/26012/399665/2801/26995/51117/10999/81605/51450/9022/10555/8019/79095/22845/375757/286262/8636/29882/2902/29952/11253/79813/89958/6256/138428/23048/10383/389792/27158/10811/377841/9858/55684/92714/375791/91373/6709/441478/169436/84960/100506100/102723566/100506599/101928525/100131193/389813/84973/100506119/90120/100289341/642515/84726",122
"chr6p21","chr6p21","chr6p21","161/8624","472/40721",4.52723768452616e-11,6.45131370044978e-09,5.71861602255936e-09,"4800/22875/7005/50619/578/9820/55173/23294/7629/54887/55633/2289/6732/27154/3326/3710/5467/2178/222658/6428/7922/5252/51596/7942/896/2979/5528/5754/6722/23113/10591/7422/2030/59084/2914/55809/29993/88745/6631/221443/57505/4337/9477/25803/6954/116138/54210/1026/57699/860/10695/116113/51645/89953/5292/23070/25844/55362/93643/84300/3159/6941/10211/8870/11270/23787/170954/222663/4794/60685/5603/347734/221496/8645/25862/717/6890/7148/9533/3119/285848/64928/114781/647024/203068/3117/64771/8831/222662/7919/221477/4736/221424/449520/1616/113523636/10471/7923/6046/100507463/6891/5089/6048/10554/80863/100507547/63943/8859/1797/6499/221527/10919/4758/50854/3304/3303/57819/7407/80737/80740/80741/7917/7916/4795/100507436/3107/54535/170680/1041/170679/8449/28973/23/80742/780/2794/63940/1388/1192/534/401247/9374/6293/106480429/9277/4050/105375013/6222/6892/7124/414765/3106/8705/107986588/5863/3833/101929705/105379695/101929243/11165/112390310",161
"chr16p13","chr16p13","chr16p13","137/8624","404/40721",1.86219238289307e-09,1.76908276374842e-07,1.5681620066468e-07,"64063/1387/30812/10127/51330/55692/8938/115939/9091/56052/23274/9351/4913/79641/54820/65993/10573/29965/7023/9727/10101/9894/23295/4832/8312/54985/7249/26048/4363/408050/64428/1186/84264/65990/10273/4210/6650/2935/7727/23059/6923/55313/3163/23420/196483/5493/29855/29066/7755/79903/10131/84662/2671/9143/9088/146330/63922/51764/58986/84326/79412/79228/23162/84656/5373/89941/6187/4716/5170/91151/51061/57407/51728/79622/197335/124093/6755/90864/80178/899/51005/146439/124222/114984/124220/7627/115/80063/83986/90850/25837/64223/1877/21/54442/146434/124401/84309/114990/26156/84331/83886/283951/2072/116028/4261/23042/81889/28955/283870/29035/18/9284/642799/8303/9742/7874/84464/400499/645811/197342/51734/100128770/752014/10921/90861/2013/9080/197350/100132169/729993/100505915/115804232/146336/283876/105371045/652276",137
"chr11q13","chr11q13","chr11q13","143/8624","434/40721",7.07828015368704e-09,4.63144818918618e-07,4.10543883805977e-07,"23649/823/58473/84957/84649/5526/51083/2011/55331/2017/23130/10938/81622/51111/55291/9379/1374/595/25906/9600/9049/83786/55107/8500/3508/28992/10313/4647/5612/10068/4926/57410/113130/283212/871/726/6188/283208/220064/83707/84304/5331/7108/738/81544/22941/84447/8986/4041/3636/283248/4723/10263/144097/89849/8772/4054/29901/5871/10963/53838/55561/5031/9158/57571/5499/5883/80194/80198/1072/254122/5017/54961/55191/1717/84153/26579/338692/10524/156/5970/51504/22992/2101/91683/4296/254102/5091/9986/79703/6712/5936/8722/65003/3177/11041/9610/10897/254263/81876/64837/55690/117144/1474/84285/374403/9092/57804/23529/387787/10589/7351/80227/51642/8061/11145/100506127/256472/25987/120356739/25923/116985/5138/399909/219927/7405/192134/6494/402/51400/10809/10432/100506020/283131/100128494/378938/91056/102724064/100506113/101928069/105379407/105369340/220074",143
"chr8q24","chr8q24","chr8q24","113/8624","324/40721",8.12534770032662e-09,4.63144818918618e-07,4.10543883805977e-07,"6482/23144/57210/6873/29894/10397/7264/1936/6713/27161/57152/51105/23639/51337/23167/79075/79139/4609/83940/84985/56169/7553/80728/93100/51571/50807/93594/55093/29028/114907/114822/4061/51160/4796/9401/84988/6132/5885/4982/9897/157378/137835/11244/83696/8000/2875/157638/169044/7564/9788/3037/203062/6641/27085/28998/203054/10221/157769/401474/5339/84875/22882/26873/1537/81858/84232/340390/727957/84948/286077/137209/286075/286128/575/2131/65265/26233/389692/9831/10584/116447/11156/340371/79943/79581/50626/58500/80778/340385/90987/23237/642574/2843/100131726/441376/414919/101927588/654463/8629/51236/101927657/100270680/106479020/101927963/100750225/100507316/100288181/157376/105375726/441381/286103/83481/286101",113
"chr16q24","chr16q24","chr16q24","53/8624","130/40721",3.28235155946322e-07,1.55911699074503e-05,1.38204276187925e-05,"79007/83693/9013/23406/9100/2294/64779/54758/27189/1013/863/51659/5119/79786/9764/81631/8720/57707/54849/22980/2588/2622/55625/123872/404550/57338/124245/115992/124044/92822/4597/81620/51693/29123/124045/6137/197320/54971/2300/197322/92806/161882/8558/2175/6687/84501/172/84627/4157/10381/146429/101927793/100130015",53
"chr17q25","chr17q25","chr17q25","100/8624","297/40721",3.86765131827893e-07,1.57468660815642e-05,1.3958440847924e-05,"7077/57602/54549/23210/3993/332/201294/79157/9400/2584/9267/3959/54868/30850/51081/23163/79902/30833/6397/79651/3691/23558/3021/85451/91107/55028/396/11322/9123/79092/94015/9775/1453/6904/79672/26502/3607/114804/22994/79755/56270/2232/29115/5635/6427/100507246/125058/146705/64122/283987/6730/147138/7083/284004/201255/201254/79058/2194/2873/5986/51181/5881/55890/2548/124583/326624/57674/63893/79643/284001/8877/284207/2885/79415/79701/6448/283989/55666/439921/5831/1468/71/10801/283991/9146/80233/5034/8632/51155/4097/339229/643008/339231/348262/440465/654434/92659/57597/80022/101928674",100
"chr17p13","chr17p13","chr17p13","110/8624","338/40721",7.12345819975781e-07,2.53773198366372e-05,2.24951311571299e-05,"1856/51087/5048/79142/9423/9340/23293/4335/37/55421/489/3682/22861/83394/9552/23125/2027/5216/26001/1145/4927/708/51003/1949/7531/1801/54478/84268/5338/482/9513/23108/23277/51763/6117/7326/1984/23135/1742/4628/55275/9905/27043/409/55135/50488/112483/432/23533/7157/29/400569/58191/433/81565/1398/64359/79850/51031/124935/83547/124997/63826/162514/124936/124975/57555/1107/58485/1140/55178/10594/57659/8711/162515/201232/162517/83903/5198/80169/9212/5187/59344/23302/50628/84622/9501/5430/1366/124637/388323/284013/84316/124976/359845/146754/727910/146760/114826/84981/643904/4641/147040/100306951/101559451/388327/101927911/8447/146850/101928991",110
"chr14q24","chr14q24","chr14q24","67/8624","193/40721",9.53601772110423e-06,0.000301973894501634,0.000267677690416961,"4293/23357/57475/22846/51109/87/5663/55218/55668/26499/2954/283578/161394/10598/145501/9517/57452/2079/9766/6430/22990/26094/283571/51077/5228/80127/112752/64207/10965/4053/9870/27030/55640/5826/1743/7043/58517/4329/2103/8892/51004/11161/8650/23508/8816/145482/122953/63894/57156/53349/2353/10972/400224/9240/9628/641371/677/957/161145/83694/64093/91750/55333/283575/100506603/103695436/100506411",67
"chr12q24","chr12q24","chr12q24","118/8624","391/40721",1.70682527878553e-05,0.000486445204453875,0.00043119796516687,"9921/55596/10198/6433/55743/7374/32/54434/10959/8655/54997/51433/84678/10985/6175/5829/5037/10961/10795/2802/6404/23603/83892/9761/10645/605/65117/59341/10094/51699/10019/80018/8099/4940/8437/2967/1967/79794/5985/64426/8683/57666/80212/9904/11113/35/6249/9026/91574/5901/51347/4440/23014/6926/8638/8739/84900/5025/92558/1840/10906/84934/113675/326625/51228/84260/84915/55206/79720/54509/196383/7316/196463/26353/121665/144406/115811/51367/79867/80196/283455/283450/488/26259/22877/54621/55884/23141/5426/8408/144348/5781/338442/57634/9735/140707/317781/23545/53373/22953/144404/121642/7699/9612/160760/27198/196385/7637/89894/144717/6311/79600/29902/101060200/192111/7556/283459/84876",118
