"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"MIR26A_5P","MIR26A_5P","MIR26A_5P","310/8526","492/27978",6.65287679484337e-51,2.13158172506782e-47,1.51965712050633e-48,"57679/1387/3720/51099/10138/637/57210/23633/578/4052/5954/9603/63933/6307/57475/65125/6873/23294/54887/5597/54916/28951/55743/9620/55604/4850/79876/55437/2932/9706/3842/51701/23186/2802/27327/3655/2099/10762/990/54620/2872/29799/339665/10521/2033/64841/1983/22990/55969/182/9658/2245/3038/79152/55313/79815/7138/10135/3202/79974/9678/2146/55069/6505/54619/10613/5532/57584/91452/9644/8030/1362/9120/3312/26973/1982/81566/341359/8099/23329/9847/23195/221662/7915/4124/83989/55186/56987/23150/23276/6549/1386/4139/6421/58480/90231/6018/34/5999/8503/5955/23271/23469/894/205564/23433/54454/25940/4601/57480/8702/64786/8034/64756/139231/5208/2181/79183/6431/8239/80262/10257/58495/154796/6049/9732/79094/10776/51105/57688/157922/9885/10277/54897/22856/7326/5509/1024/4628/694/1965/4017/25917/8553/54407/55312/23670/8728/6885/51317/9053/9958/9857/9882/9314/5292/7020/63027/3159/51439/58487/4750/80204/1847/80312/1763/580/79800/4664/9908/55500/55206/9960/10140/85464/5366/55917/7371/27/4170/79573/23219/85403/90102/114885/57552/54532/6502/171019/91272/51473/58499/138151/133/472/8091/23657/144110/9231/5756/6868/26278/147339/255967/5352/1105/116150/26207/57630/9989/147495/29761/134353/23362/4325/6103/84295/142891/57822/2140/84919/9310/26086/57551/3678/124801/22941/148867/57216/5194/3625/6314/6259/10424/80155/153222/94081/134957/94241/219654/221035/144455/53981/783/221079/65084/90850/9881/8754/4144/54951/55276/8738/1501/123606/5209/79905/26115/4534/5728/144195/83591/64859/55196/84002/8408/151188/144348/10472/5062/120103/253832/23401/341208/7325/3838/23236/2188/57634/8303/56899/55010/89782/151011/7328/613/51616/200424/26059/342979/4810/389206/1612/57522/57708/6815/3221/27347/25829/51465/7150/84243/7416/5534/84627/57665/8790/5175/256302/30837",310
"MIR26B_5P","MIR26B_5P","MIR26B_5P","309/8526","492/27978",2.6507466545536e-50,4.24649614059487e-47,3.02743170546385e-48,"57679/1387/3720/51099/10138/637/57210/23633/578/4052/5954/9603/63933/6307/57475/65125/6873/23294/54887/5597/54916/28951/55743/9620/55604/4850/79876/55437/2932/9706/3842/51701/23186/2802/27327/3655/2099/10762/990/54620/2872/29799/339665/10521/2033/64841/1983/22990/55969/182/9658/2245/3038/79152/55313/79815/7138/10135/3202/79974/9678/2146/55069/6505/54619/10613/5532/57584/91452/9644/8030/1362/9120/3312/26973/1982/341359/8099/23329/9847/23195/221662/7915/4124/83989/55186/56987/23150/23276/6549/1386/4139/6421/58480/90231/6018/34/5999/8503/5955/23271/23469/894/205564/23433/54454/25940/4601/57480/8702/64786/8034/64756/139231/5208/2181/79183/6431/8239/80262/10257/58495/154796/6049/9732/79094/10776/51105/57688/157922/9885/10277/54897/22856/7326/5509/1024/4628/694/1965/4017/25917/8553/54407/55312/23670/8728/6885/51317/9053/9958/9857/9882/9314/5292/7020/63027/3159/51439/58487/4750/80204/1847/80312/1763/580/79800/4664/9908/55500/55206/9960/10140/85464/5366/55917/7371/27/4170/79573/23219/85403/90102/114885/57552/54532/6502/171019/91272/51473/58499/138151/133/472/8091/23657/144110/9231/5756/6868/26278/147339/255967/5352/1105/116150/26207/57630/9989/147495/29761/134353/23362/4325/6103/84295/142891/57822/2140/84919/9310/26086/57551/3678/124801/22941/148867/57216/5194/3625/6314/6259/10424/80155/153222/94081/134957/94241/219654/221035/144455/53981/783/221079/65084/90850/9881/8754/4144/54951/55276/8738/1501/123606/5209/79905/26115/4534/5728/144195/83591/64859/55196/84002/8408/151188/144348/10472/5062/120103/253832/23401/341208/7325/3838/23236/2188/57634/8303/56899/55010/89782/151011/7328/613/51616/200424/26059/342979/4810/389206/1612/57522/57708/6815/3221/27347/25829/51465/7150/84243/7416/5534/84627/57665/8790/5175/256302/30837",309
"TGCACTT_MIR519C_MIR519B_MIR519A","TGCACTT_MIR519C_MIR519B_MIR519A","TGCACTT_MIR519C_MIR519B_MIR519A","275/8526","449/27978",6.54676064109798e-42,6.99194036469264e-39,4.98472652322197e-40,"5893/4293/79602/5048/4784/3097/10867/55727/1663/27032/3149/22807/5926/9497/7077/8452/4134/10721/131566/6857/5597/10420/9948/27125/23291/56666/8626/83737/23152/1785/4850/56142/22924/55054/8455/27131/10914/1947/27327/55072/1808/54566/11078/9701/3091/6430/22919/1869/23253/57534/6907/6839/3839/10725/9683/64089/51366/26959/10049/3984/55664/54619/8729/23185/9644/1326/9110/51655/1655/23158/7468/23130/51111/55291/10612/1982/2004/8099/5869/25842/55084/51696/9444/64094/59084/55914/4090/10051/7337/90/79745/57448/2043/8674/57035/4602/26234/5311/11278/84930/79365/1017/57580/84612/57169/6659/2069/745/56731/6253/9572/286336/4189/3169/140685/22927/9467/4131/9826/5738/9475/91408/51347/6926/9053/9958/2799/9764/10228/55654/86/2800/132864/6653/9493/56924/54874/9411/85465/79172/83478/10144/5530/122060/122786/122830/22893/9960/10066/79631/85464/5596/757/1952/5298/57459/55252/285362/26018/5295/27242/9586/5814/64418/8473/7552/55638/7436/84895/84280/85456/8091/54842/26278/143384/147339/25909/147463/147495/285172/9372/6854/1859/6497/171586/4681/6781/10642/2909/5316/23181/6427/22941/51727/4774/7048/23001/54861/253260/619279/10922/5277/195828/94134/144455/9702/55662/4176/81565/64400/8085/6774/56884/153241/1285/4204/53944/23414/10746/123606/4862/9306/11214/84669/25948/3037/5569/81831/7764/8462/26960/253558/22992/81839/64859/57659/7525/80205/2066/22882/144108/10472/9792/9282/387640/169200/23236/9802/64061/1850/25923/155435/10509/23299/80829/7003/81848/51114/9901/4763/4217/6815/64093/22887/4215/84456/259230/56143/56146/1654/56134/56135/56137/56145/10929",275
"MIR130B_3P","MIR130B_3P","MIR130B_3P","253/8526","404/27978",4.75825731538601e-41,3.52633530525407e-38,2.51401130573669e-39,"54467/221981/3720/2534/3097/55727/54476/5286/23071/11215/55635/51230/8452/116984/57646/168850/5291/10198/6307/26099/58508/131566/8975/65125/56848/23013/865/4040/23446/479/55796/79960/1906/114880/4850/4036/9706/2060/55054/27131/51776/23231/2099/1808/9044/5594/25776/9701/6655/23002/51804/22990/9252/7528/55284/4233/3614/9678/643641/83856/57584/91452/8030/219771/51655/6603/57649/57482/1182/23321/152503/3312/1656/2965/2004/7803/60682/51696/9749/59084/55914/868/10057/26084/200576/90/23683/22848/26038/1647/23271/8609/23314/58517/8165/57179/11113/79365/56937/2069/80262/3659/56731/54617/112399/3949/6249/22/6533/5468/22903/50717/10955/23111/694/81846/91408/26136/55122/1783/10228/50649/55852/152006/55667/63971/27314/56924/79172/9101/9908/55206/81624/122060/122786/85439/22893/1213/64762/757/23219/805/55252/5868/5793/26018/153830/222663/526/54904/55638/29967/4781/84895/138151/29982/8038/9231/54842/6695/133746/255967/2697/51128/147495/113612/55529/137492/142891/9372/7804/26060/171586/9825/84919/6427/29127/22941/4774/51072/285203/7048/1040/23001/7871/10395/107/10922/8323/58526/5277/254065/94134/3251/54893/79850/23255/753/255743/56884/4204/367/23204/26115/1184/7764/7064/10690/64393/22992/64859/3267/57659/149420/8534/79836/8061/2072/344148/4094/144108/10472/10194/23060/374986/387640/151963/84622/90355/23236/64746/23466/89782/4603/3638/200424/123879/3556/51427/5660/23607/57708/4194/28514/64093/6643/162073/201475/79716/90120/222537/140735/150590",253
"MIR454_3P","MIR454_3P","MIR454_3P","266/8526","433/27978",6.5383612996915e-41,3.52633530525407e-38,2.51401130573669e-39,"54467/221981/3720/2534/3097/1185/55727/54476/5286/23071/11215/55635/51230/8452/116984/57646/168850/5291/10198/6307/26099/58508/131566/8975/65125/56848/23013/865/4040/23446/224/479/55796/79960/1906/114880/4850/4036/9706/2060/55054/27131/51776/23231/2099/1808/9044/5594/25776/9701/6655/23002/51804/22990/9252/55284/4233/3614/9678/643641/57584/91452/8030/219771/51655/6603/57649/57482/1182/23321/152503/3312/1656/2965/2004/7803/51696/9749/59084/55914/868/10057/26084/200576/90/51652/23683/22848/26038/1647/23271/8609/23469/58517/56243/8165/57179/79365/56937/2069/80262/3659/56731/54617/112399/3949/23025/6249/22/6533/5468/22903/50717/10955/23111/694/81846/91408/26136/55122/1783/10228/50649/80727/55852/152006/55667/63971/132864/27314/56924/79172/10579/9101/9908/55206/81624/122060/122786/85439/22893/1213/64762/757/3321/23219/805/55252/5868/5793/26018/116931/153830/222663/9586/526/54904/55638/29967/4781/84895/138151/29982/8038/55216/9231/54842/6695/133746/255967/2697/51128/147495/113612/55529/137492/27020/142891/9372/7804/26060/171586/9825/84919/6427/29127/22941/4774/51072/3625/285203/7048/1040/23001/7871/10395/107/10922/8323/58526/5277/254065/94134/3251/7551/54893/79850/23255/753/255743/56884/4204/367/23204/26115/1184/7764/7064/10690/64393/22992/64859/3267/57659/149420/8534/79772/79836/8061/2072/344148/4094/144108/10472/10194/23060/374986/387640/151963/84622/90355/23236/64746/23466/89782/4603/3638/91404/200424/123879/3556/51427/5660/23607/57708/4194/28514/64093/6643/162073/201475/79716/90120/222537/140735/150590",266
"MIR3666","MIR3666","MIR3666","250/8526","398/27978",6.60362416714245e-41,3.52633530525407e-38,2.51401130573669e-39,"54467/221981/3720/2534/3097/55727/54476/5286/23071/11215/51230/8452/116984/57646/168850/5291/10198/6307/26099/58508/131566/8975/65125/56848/23013/865/4040/23446/479/55796/79960/1906/114880/4850/4036/9706/2060/55054/27131/51776/23231/2099/1808/9044/5594/25776/9701/6655/23002/51804/22990/9252/55284/4233/3614/9678/643641/83856/57584/91452/8030/219771/51655/6603/57649/57482/1182/23321/152503/3312/1656/2965/2004/7803/51696/9749/59084/55914/868/10057/26084/200576/90/23683/22848/26038/1647/23271/8609/58517/8165/57179/11113/79365/56937/6659/2069/80262/3659/56731/54617/112399/3949/6249/22/6533/5468/22903/50717/10955/23111/694/81846/91408/26136/55122/1783/10228/50649/55852/152006/55667/63971/27314/56924/79172/9101/9908/55206/81624/122060/122786/85439/22893/1213/64762/757/23219/805/55252/5868/5793/26018/153830/222663/526/54904/55638/29967/4781/84895/138151/29982/8038/9231/54842/6695/133746/255967/2697/51128/147495/113612/55529/137492/142891/9372/7804/26060/171586/9825/84919/6427/29127/22941/4774/51072/285203/7048/1040/23001/7871/10395/107/10922/8323/58526/5277/254065/94134/3251/54893/79850/23255/753/255743/56884/4204/367/23204/26115/1184/7764/7064/10690/64393/22992/64859/3267/57659/149420/8534/79836/8061/2072/344148/4094/144108/10472/10194/23060/374986/387640/151963/84622/90355/23236/64746/23466/89782/4603/3638/200424/123879/3556/51427/5660/23607/57708/4194/28514/64093/6643/162073/201475/79716/90120/222537/140735/150590",250
"MIR130A_3P","MIR130A_3P","MIR130A_3P","251/8526","401/27978",1.11109521281391e-40,5.08564151693683e-38,3.62567911549804e-39,"54467/221981/3720/2534/3097/55727/54476/5286/23071/11215/51230/8452/116984/57646/168850/5291/10198/6307/26099/58508/131566/8975/65125/56848/23013/865/4040/23446/479/55796/79960/1906/114880/4850/4036/9706/2060/55054/27131/51776/23231/2099/1808/9044/5594/25776/9701/6655/23002/51804/22990/9252/7528/55284/4233/3614/9678/643641/83856/57584/91452/8030/219771/51655/6603/57649/57482/1182/23321/152503/3312/1656/2965/2004/7803/60682/51696/9749/59084/55914/868/10057/26084/200576/90/23683/22848/26038/1647/23271/8609/23469/58517/8165/57179/79365/56937/2069/80262/3659/56731/54617/112399/3949/6249/22/6533/5468/22903/50717/10955/23111/694/81846/91408/26136/55122/1783/10228/50649/55852/152006/55667/63971/56924/79172/10579/9101/9908/55206/81624/122060/122786/85439/22893/1213/64762/757/23219/805/55252/5868/5793/26018/153830/222663/526/54904/55638/29967/4781/84895/138151/29982/8038/9231/54842/6695/133746/255967/2697/51128/147495/113612/55529/137492/142891/9372/7804/26060/171586/9825/84919/6427/29127/22941/4774/51072/285203/7048/1040/23001/7871/10395/107/10922/8323/58526/5277/254065/94134/3251/54893/79850/23255/753/255743/56884/4204/367/23204/26115/1184/7764/7064/10690/64393/22992/64859/3267/57659/149420/8534/79836/8061/2072/344148/4094/144108/10472/10194/23060/374986/387640/151963/84622/90355/23236/64746/23466/89782/4603/3638/200424/123879/3556/51427/5660/23607/57708/4194/28514/64093/6643/162073/201475/79716/90120/222537/140735/150590",251
"MIR4465","MIR4465","MIR4465","262/8526","426/27978",1.93769388887302e-40,7.76046402493644e-38,5.53262597217691e-39,"57679/3720/51099/10138/637/57210/23633/578/4052/5954/63933/6307/57475/65125/23294/5597/54916/28951/55743/9620/55437/2932/9706/3842/51701/23186/27327/3655/2099/10762/990/54620/29799/339665/10521/2033/1983/22990/55969/182/9658/2245/3038/79152/55313/79815/3202/9678/2146/55069/6505/54619/10613/5532/57584/91452/9644/8030/9120/3312/26973/1982/341359/8099/23195/221662/7915/4124/83989/55186/56987/23150/23276/1386/4139/6421/58480/90231/6018/34/5999/8503/5955/23469/205564/23433/25940/4601/57480/8702/64786/8034/64756/139231/5208/2181/79183/6431/8239/80262/10257/58495/154796/6049/9732/79094/10776/51105/57688/157922/10277/54897/22856/7326/1024/1965/4017/25917/8553/54407/55312/8728/6885/51317/9053/9958/9857/9882/5292/63027/3159/58487/4750/80204/1847/80312/1763/4664/9908/55500/55206/9960/10140/85464/55917/7371/27/4170/79573/23219/90102/114885/57552/6502/171019/91272/51473/58499/133/472/8091/23657/144110/9231/5756/6868/26278/147339/255967/5352/1105/116150/26207/57630/9989/29761/134353/23362/4325/6103/84295/57822/84919/9310/57551/124801/22941/57216/5194/3625/6259/10424/80155/153222/94081/134957/94241/219654/221035/144455/53981/783/221079/90850/9881/8754/4144/55276/8738/3987/1501/5209/79905/26115/4534/5728/83591/64859/55196/84002/8408/151188/10472/5062/120103/253832/23401/341208/3838/23236/2188/57634/8303/56899/55010/89782/151011/7328/613/51616/200424/26059/342979/4810/389206/1612/57522/57708/6815/3221/27347/25829/7150/84243/7416/5534/84627/57665/8790/5175/256302/30837",262
"MIR301B_3P","MIR301B_3P","MIR301B_3P","248/8526","396/27978",2.89660780816631e-40,1.03119237970721e-37,7.35162449557999e-39,"54467/221981/3720/2534/3097/55727/54476/5286/23071/11215/51230/8452/116984/57646/168850/5291/10198/6307/26099/58508/131566/8975/65125/56848/23013/865/4040/23446/479/55796/79960/1906/114880/4850/4036/9706/2060/55054/27131/51776/23231/2099/1808/9044/5594/25776/9701/6655/23002/51804/22990/9252/55284/4233/3614/9678/643641/83856/57584/91452/8030/219771/51655/6603/57649/57482/1182/23321/152503/3312/1656/2965/2004/7803/51696/9749/59084/55914/868/10057/26084/200576/90/23683/22848/26038/1647/23271/8609/58517/8165/57179/79365/56937/2069/80262/3659/56731/54617/112399/3949/6249/22/6533/5468/22903/50717/10955/23111/694/81846/91408/26136/55122/1783/10228/50649/55852/152006/55667/63971/56924/79172/9101/9908/55206/81624/122060/122786/85439/22893/1213/64762/757/23219/805/55252/5868/5793/26018/153830/222663/526/54904/55638/29967/4781/84895/138151/29982/8038/9231/54842/6695/133746/255967/2697/51128/147495/113612/55529/137492/142891/9372/7804/26060/171586/9825/84919/6427/29127/22941/4774/51072/285203/7048/1040/23001/7871/10395/107/10922/8323/58526/5277/254065/94134/3251/54893/79850/23255/753/255743/56884/4204/367/23204/26115/1184/7764/7064/10690/64393/22992/64859/3267/57659/149420/8534/79772/79836/8061/2072/344148/4094/144108/10472/10194/23060/374986/387640/151963/84622/90355/23236/64746/23466/89782/4603/3638/200424/123879/3556/51427/5660/23607/57708/4194/28514/64093/6643/162073/201475/79716/90120/222537/140735/150590",248
"MIR4295","MIR4295","MIR4295","249/8526","399/27978",4.83975292210562e-40,1.55065683624264e-37,1.10550145694413e-38,"54467/221981/3720/2534/3097/55727/54476/5286/23071/11215/51230/8452/116984/57646/168850/5291/10198/6307/26099/58508/131566/8975/65125/56848/23013/865/4040/23446/479/55796/79960/1906/114880/4850/4036/9706/2060/55054/27131/51776/23231/2099/1808/9044/5594/25776/9701/6655/23002/51804/22990/9252/55284/4233/3614/9678/643641/83856/57584/91452/8030/219771/51655/6603/57649/57482/1182/23321/152503/3312/1656/2965/2004/7803/51696/9749/59084/55914/868/10057/26084/200576/90/23683/22848/26038/1647/23271/8609/58517/8165/57179/79365/56937/2069/80262/3659/56731/54617/112399/3949/6249/22/6533/5468/22903/50717/10955/23111/694/81846/91408/26136/55122/1783/10228/50649/55852/152006/55667/63971/27314/56924/79172/9101/9908/55206/81624/122060/122786/85439/22893/1213/64762/757/23219/805/55252/5868/5793/26018/153830/222663/526/54904/55638/29967/4781/84895/138151/29982/8038/9231/54842/6695/133746/255967/2697/51128/147495/113612/55529/137492/142891/9372/7804/26060/171586/9825/84919/6427/29127/22941/4774/51072/285203/7048/1040/23001/7871/10395/107/10922/8323/58526/5277/254065/94134/3251/7551/54893/79850/23255/753/255743/56884/4204/367/23204/26115/1184/7764/7064/10690/64393/22992/64859/3267/57659/149420/8534/79836/8061/2072/344148/4094/144108/10472/10194/23060/374986/387640/151963/84622/90355/23236/64746/23466/89782/4603/3638/200424/123879/3556/51427/5660/23607/57708/4194/28514/64093/6643/162073/201475/79716/90120/222537/140735/150590",249
"MIR301A_3P","MIR301A_3P","MIR301A_3P","248/8526","397/27978",5.41402718279851e-40,1.5769584630624e-37,1.12425253460983e-38,"54467/221981/3720/2534/3097/55727/54476/5286/23071/11215/51230/8452/116984/57646/168850/5291/10198/6307/26099/58508/131566/8975/65125/56848/23013/865/4040/23446/479/55796/79960/1906/114880/4850/4036/9706/2060/55054/27131/51776/23231/2099/1808/9044/5594/25776/9701/6655/23002/51804/22990/9252/55284/4233/3614/9678/643641/83856/57584/91452/8030/219771/51655/6603/57649/57482/1182/23321/152503/3312/1656/2965/2004/7803/51696/9749/59084/55914/868/10057/26084/200576/90/23683/22848/26038/1647/23271/8609/58517/8165/57179/79365/56937/2069/80262/3659/56731/54617/112399/3949/6249/22/6533/5468/22903/50717/10955/23111/694/81846/91408/26136/55122/1783/10228/50649/55852/152006/55667/63971/56924/79172/9101/9908/55206/81624/122060/122786/85439/22893/1213/64762/757/23219/805/55252/5868/5793/26018/153830/222663/526/54904/55638/29967/4781/84895/138151/29982/8038/9231/54842/6695/133746/255967/2697/51128/147495/113612/55529/137492/142891/9372/7804/26060/171586/9825/84919/6427/29127/22941/4774/51072/285203/7048/1040/23001/7871/10395/107/10922/8323/58526/5277/254065/94134/3251/54893/79850/23255/753/255743/56884/4204/367/23204/26115/1184/7764/7064/10690/64393/22992/64859/3267/57659/149420/8534/79772/79836/8061/2072/344148/4094/144108/10472/10194/23060/374986/387640/151963/84622/90355/23236/64746/23466/89782/4603/3638/200424/123879/3556/51427/5660/23607/57708/4194/28514/64093/6643/162073/201475/79716/90120/222537/140735/150590",248
"ATXN7L3_TARGET_GENES","ATXN7L3_TARGET_GENES","ATXN7L3_TARGET_GENES","192/8526","283/27978",1.35142800744791e-38,3.60831277988591e-36,2.57245506680873e-37,"64063/3675/55049/57787/6224/4190/30846/7444/5606/8504/1495/5954/10198/57602/5315/2011/2023/10512/64778/60/51619/27102/4616/5106/10528/9218/10397/23516/10469/857/4233/2617/7763/22841/27143/9562/25984/54894/6603/1655/64149/374/7358/3312/11108/23603/3875/2597/7422/3157/3313/3280/57142/3336/26003/1647/84878/29880/10174/10124/79586/4835/2069/51429/55829/3021/3939/79577/8739/3300/51028/9314/132864/5962/9493/6176/26509/6744/8482/3184/55132/306/5530/6187/128272/22823/51057/7851/51454/5066/51390/51631/8473/6836/6188/8091/7316/130340/83734/51061/4929/50807/26207/119392/29028/1974/124044/861/8566/124222/84447/26027/3716/51278/51072/201895/323/134429/10370/55536/116039/2669/161742/25820/9768/2923/29123/6137/64359/6520/1499/55209/3667/196074/3185/84669/5621/51315/54205/79736/1072/55196/125144/8061/79643/197322/374819/2629/51027/5339/811/1104/55785/26233/5831/10766/5142/5034/79943/4771/7003/5757/389792/130612/1604/80778/4646/643836/55534/307/6714/6281/4641/6277/85028/7296/801/116461/6721/6046/7917/162073/338651/60674/8705/283131/1050/378938/23642/90799/105370888/440278",192
"ACTGTGA_MIR27A_MIR27B","ACTGTGA_MIR27A_MIR27B","ACTGTGA_MIR27A_MIR27B","280/8526","475/27978",2.70479099155515e-38,6.66626948995592e-36,4.75254773414953e-37,"204/1856/30845/22902/56895/286/3149/9168/26009/168850/1112/57475/26099/4804/10954/6416/4756/7813/6857/865/602/4734/5774/490/27125/55421/771/5609/23047/8648/63035/80271/2036/29965/8812/8646/57556/51430/10044/27154/2872/55964/9252/6594/3839/9683/2935/57214/55284/51366/84444/54531/84132/3984/54619/9110/9570/6198/23531/23142/1182/51809/55294/9354/79632/8732/135112/9444/4124/1839/900/3977/80315/523/90/2591/55818/3398/390/80267/829/81563/2494/9783/5129/50999/4751/10274/22936/23314/80212/10783/11113/27161/57727/84612/8675/27076/2354/23767/8894/5326/81537/286336/25953/3092/3976/93986/54567/863/140700/25814/51132/9945/5468/3021/6616/2048/4212/1837/55082/9315/51280/8728/4440/2799/51719/9648/23325/10253/83605/6426/152006/116113/56924/1847/10021/10144/23162/51228/84915/10161/10150/64403/4857/22893/59274/91947/5170/162427/64651/10769/54540/1956/56257/29982/6768/10525/81928/5531/55216/2308/23657/152485/9781/130271/22878/79888/64795/140890/90268/55740/57630/285172/8324/80223/54778/257397/9825/8703/2035/861/197131/2063/84446/55585/3678/25946/124801/26027/148423/57216/10611/56983/23429/1040/166336/6184/80155/153222/2020/5001/83590/19/11244/94134/254170/219654/144455/783/348093/89797/114794/54893/7529/5245/54815/84879/84289/1876/3667/53944/202018/3185/136/9306/5569/1184/5734/23261/221037/55970/167227/81839/92597/64859/79647/22843/8534/148252/2885/7334/282679/147991/160335/144108/2624/9792/9282/222166/8204/5324/9628/23705/1435/149175/27124/677/6256/23390/375790/4810/344838/51136/196528/83931/9883/60312/343990/80055/25788/23607/50618/83699/27347/259230/51400/257415/5863/23380",280
