"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GSE2405_0H_VS_24H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP","GSE2405_0H_VS_24H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP","GSE2405_0H_VS_24H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP","24/720","200/21355",7.65317133602516e-08,0.00038640862075591,0.000357523940939786,"3309/60/4637/1982/113246/6152/9270/6418/718/10541/11224/6194/6187/6189/6130/83706/200916/6157/3921/51504/9045/6277/6136/6235",24
"GSE2405_0H_VS_9H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN","GSE2405_0H_VS_9H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN","GSE2405_0H_VS_9H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN","22/720","200/21355",1.19021617013078e-06,0.00300470072149516,0.00278009440160021,"64710/60/3320/1982/6152/11224/6194/6187/6189/6130/3192/200916/5702/6157/3921/1267/340024/9045/203068/6136/919/6235",22
"GSE22886_NAIVE_BCELL_VS_NEUTROPHIL_UP","GSE22886_NAIVE_BCELL_VS_NEUTROPHIL_UP","GSE22886_NAIVE_BCELL_VS_NEUTROPHIL_UP","20/720","199/21355",1.40832860765415e-05,0.0127602786381948,0.0118064268268461,"9168/6480/3326/8050/6207/23341/23014/3178/11224/6194/6176/142/6130/3708/6157/11142/11180/6165/23334/780",20
"GSE17721_LPS_VS_PAM3CSK4_0.5H_BMDC_UP","GSE17721_LPS_VS_PAM3CSK4_0.5H_BMDC_UP","GSE17721_LPS_VS_PAM3CSK4_0.5H_BMDC_UP","20/720","200/21355",1.51637298136599e-05,0.0127602786381948,0.0118064268268461,"7444/7158/1738/23759/55578/10273/1891/8576/348/5428/6189/6502/51074/740/4817/2021/3921/79077/1773/11254",20
"GSE23505_IL6_IL1_VS_IL6_IL1_TGFB_TREATED_CD4_TCELL_DN","GSE23505_IL6_IL1_VS_IL6_IL1_TGFB_TREATED_CD4_TCELL_DN","GSE23505_IL6_IL1_VS_IL6_IL1_TGFB_TREATED_CD4_TCELL_DN","20/720","200/21355",1.51637298136599e-05,0.0127602786381948,0.0118064268268461,"1355/57226/79956/113246/5096/10245/3337/79172/4191/6834/6749/79096/27250/4141/2110/11180/51333/84316/390637/57089",20
"GSE41978_ID2_KO_VS_ID2_KO_AND_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_DN","GSE41978_ID2_KO_VS_ID2_KO_AND_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_DN","GSE41978_ID2_KO_VS_ID2_KO_AND_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_DN","20/720","200/21355",1.51637298136599e-05,0.0127602786381948,0.0118064268268461,"29927/5315/3320/3326/8714/6152/79912/11224/6194/6176/6189/3001/6157/3921/5499/1072/3090/203068/6136/6235",20
"GSE43863_NAIVE_VS_MEMORY_LY6C_INT_CXCR5POS_CD4_TCELL_D150_LCMV_DN","GSE43863_NAIVE_VS_MEMORY_LY6C_INT_CXCR5POS_CD4_TCELL_D150_LCMV_DN","GSE43863_NAIVE_VS_MEMORY_LY6C_INT_CXCR5POS_CD4_TCELL_D150_LCMV_DN","19/720","200/21355",5.00002721529475e-05,0.0360644820143189,0.0333686026789145,"57147/10523/3301/22985/1477/9512/51003/114971/10849/2107/84292/54973/84817/54765/4141/8233/51333/161424/728568",19
