"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"MEK_UP.V1_UP","MEK_UP.V1_UP","MEK_UP.V1_UP","37/495","195/10922",6.8247647375657e-14,1.27623100592479e-11,1.06322650648392e-11,"6558/51083/10644/22978/4680/11151/57214/8714/7852/5447/51337/80328/6533/51280/408/6386/56649/1545/79180/51097/10205/1646/11182/4041/55450/824/2150/4982/5569/9537/64856/5101/4059/347/1364/3887/2878",37
"RAF_UP.V1_DN","RAF_UP.V1_DN","RAF_UP.V1_DN","36/495","193/10922",2.58817393189896e-13,2.41994262632553e-11,2.01605127326867e-11,"7035/4254/8839/2239/5241/857/22943/8821/7358/4256/3488/8942/4602/8727/80129/1948/1968/6451/429/1952/8991/10769/8573/2674/26353/4886/10395/6383/596/22843/1960/51363/4603/9687/54898/11254",36
"EGFR_UP.V1_UP","EGFR_UP.V1_UP","EGFR_UP.V1_UP","34/495","192/10922",5.64564142727174e-12,3.51911648966605e-10,2.93177168854813e-10,"7035/3675/211/6558/51083/11320/10644/22978/4680/3383/57214/8714/1594/8727/6386/1545/316/10161/6004/6279/51097/10205/824/6280/2150/4982/4319/10761/2266/5101/4312/5167/9060/3887",34
"EGFR_UP.V1_DN","EGFR_UP.V1_DN","EGFR_UP.V1_DN","30/495","196/10922",3.9241550930016e-09,1.83454250597825e-07,1.52835514148483e-07,"55635/1535/8839/3993/55034/5241/857/2887/80303/7456/4602/1948/1968/3832/429/1952/8416/79682/2674/27295/4886/10395/624/596/1960/8204/23705/9687/54898/11254",30
"ERBB2_UP.V1_DN","ERBB2_UP.V1_DN","ERBB2_UP.V1_DN","29/495","197/10922",1.76737282460413e-08,6.60997436401944e-07,5.50676164297708e-07,"55635/8839/3912/5932/857/2348/10635/4256/7272/2274/7456/4602/1968/2317/4609/1062/429/10733/2674/26353/4085/4886/10395/596/1960/8204/4603/9687/11254",29
"CORDENONSI_YAP_CONSERVED_SIGNATURE","CORDENONSI_YAP_CONSERVED_SIGNATURE","CORDENONSI_YAP_CONSERVED_SIGNATURE","14/495","58/10922",2.07242712123309e-07,6.45906452784314e-06,5.38103884109646e-06,"3074/3161/7145/332/4616/5054/51421/991/3925/1854/7153/7057/10395/4082",14
"LTE2_UP.V1_UP","LTE2_UP.V1_UP","LTE2_UP.V1_UP","25/495","188/10922",1.22707910507689e-06,3.27805418070542e-05,2.73094297069745e-05,"26999/6558/11320/4680/5427/1033/57214/8714/3488/80129/7852/80328/222/51280/5025/26298/6386/1545/316/11322/4982/55872/5101/2878/4082",25
"ERBB2_UP.V1_UP","ERBB2_UP.V1_UP","ERBB2_UP.V1_UP","25/495","190/10922",1.49609279395573e-06,3.49711690587153e-05,2.9134438619138e-05,"58473/6558/11320/4680/57214/8714/10103/7852/51337/80328/6533/6386/1545/51097/10205/1646/4041/55450/824/4982/4597/64856/4059/9060/3887",25
"LTE2_UP.V1_DN","LTE2_UP.V1_DN","LTE2_UP.V1_DN","25/495","195/10922",2.42227019960968e-06,5.03293919252233e-05,4.19293555020155e-05,"8839/51083/55034/857/2887/4256/10486/2274/7456/429/3547/2674/10018/27295/4886/10395/89797/596/22843/1960/8204/8519/9687/54898/11254",25
"BMI1_DN.V1_UP","BMI1_DN.V1_UP","BMI1_DN.V1_UP","21/495","147/10922",2.75919444441755e-06,5.15969361106081e-05,4.29853450288207e-05,"3675/51083/2260/3732/7078/28231/9780/22943/6513/652/5420/4907/2317/4240/5045/23400/11182/4041/624/1435/375790",21
