"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"CAGTATT_MIR200B_MIR200C_MIR429","CAGTATT_MIR200B_MIR200C_MIR429","CAGTATT_MIR200B_MIR200C_MIR429","28/704","468/27978",2.53021119494793e-05,0.00309074711154548,0.00252778882835068,"11313/54443/6319/51421/2335/7456/4602/1948/6533/23164/4008/1545/396/10769/55262/10395/4982/171546/144501/6383/5099/1501/5569/22843/1960/8204/6657/4082",28
"MIR4283","MIR4283","MIR4283","17/704","210/27978",2.57219300228486e-05,0.00309074711154548,0.00252778882835068,"6482/9066/1186/57214/30818/7456/1026/5045/2899/284613/666/1435/4059/23654/50861/955/56967",17
"ATXN7L3_TARGET_GENES","ATXN7L3_TARGET_GENES","ATXN7L3_TARGET_GENES","20/704","283/27978",3.71161186049623e-05,0.00369206340103673,0.00301957950032228,"64063/3675/4616/1666/857/7358/25902/79586/652/26509/83734/29028/861/125144/2629/26233/389792/130612/60674/283131",20
"E2F_02","E2F_02","E2F_02","18/704","238/27978",3.72225622425432e-05,0.00369206340103673,0.00301957950032228,"4171/284403/79960/7023/5427/3925/9924/4609/5292/2177/29028/5979/4176/983/6241/1946/389792/9824",18
"E2F1DP1_01","E2F1DP1_01","E2F1DP1_01","18/704","238/27978",3.72225622425432e-05,0.00369206340103673,0.00301957950032228,"4171/284403/79960/7023/5427/3925/9924/4609/5292/2177/29028/5979/4176/983/6241/1946/389792/9824",18
"E2F1DP2_01","E2F1DP2_01","E2F1DP2_01","18/704","238/27978",3.72225622425432e-05,0.00369206340103673,0.00301957950032228,"4171/284403/79960/7023/5427/3925/9924/4609/5292/2177/29028/5979/4176/983/6241/1946/389792/9824",18
"E2F4DP2_01","E2F4DP2_01","E2F4DP2_01","18/704","238/27978",3.72225622425432e-05,0.00369206340103673,0.00301957950032228,"4171/284403/79960/7023/5427/3925/9924/4609/5292/2177/29028/5979/4176/983/6241/1946/389792/9824",18
"HMGB2_TARGET_GENES","HMGB2_TARGET_GENES","HMGB2_TARGET_GENES","25/704","404/27978",3.92917548380756e-05,0.00369206340103673,0.00301957950032228,"116254/55632/4256/6206/10051/9173/55157/55686/6144/3178/2799/10592/57082/83540/6233/6133/10395/1163/59344/6165/6228/613/1287/9824/285154",25
"CHOP_01","CHOP_01","CHOP_01","18/704","239/27978",3.93295701841463e-05,0.00369206340103673,0.00301957950032228,"3675/4254/55771/7023/4792/7456/3925/8553/8573/2746/3087/10018/6280/3148/6522/5099/5101/7405",18
"NFY_Q6","NFY_Q6","NFY_Q6","19/704","263/27978",4.28231280656263e-05,0.00389820232451943,0.00318817163971839,"1591/55771/7272/8503/4751/11113/7153/26298/10956/1382/29127/151354/3148/89797/699/983/55010/389792/285154",19
"E2F4DP1_01","E2F4DP1_01","E2F4DP1_01","18/704","242/27978",4.63003095966692e-05,0.00409076853024689,0.00334566323834755,"4171/284403/79960/7023/5427/3925/9924/4609/5292/2177/29028/5979/4176/983/6241/1946/389792/9824",18
"MIR361_3P","MIR361_3P","MIR361_3P","11/704","102/27978",5.29508153752242e-05,0.00454469283963353,0.0037169083634819,"8839/489/7023/7466/10103/222/967/111/23466/1946/653820",11
"E2F1_Q3","E2F1_Q3","E2F1_Q3","18/704","247/27978",6.03743690574292e-05,0.00503790568468104,0.00412028588830526,"4171/284403/79960/7023/5427/3925/9924/5292/429/10733/29028/2898/4176/983/6241/22845/389792/9824",18
"ISRE_01","ISRE_01","ISRE_01","18/704","253/27978",8.21623939887982e-05,0.00667069814979323,0.00545567646002432,"30844/57130/10635/1303/30818/8942/8503/4602/7852/6451/7057/2064/567/255743/5099/4296/627/6892",18
"LEF1_Q2","LEF1_Q2","LEF1_Q2","17/704","231/27978",8.50165894005141e-05,0.00672078511997748,0.00549664043381717,"84649/64834/22943/1718/9528/26509/57530/56950/7483/2746/2674/5979/89797/983/284613/7351/128239",17
"E2F1DP1RB_01","E2F1DP1RB_01","E2F1DP1RB_01","17/704","233/27978",9.44808419655097e-05,0.00716889726223552,0.00586313203800467,"4171/284403/79960/7023/5427/3925/9924/3178/5292/29028/5979/4176/81620/983/6241/389792/9824",17
"MIR589_3P","MIR589_3P","MIR589_3P","18/704","256/27978",9.5458019470513e-05,0.00716889726223552,0.00586313203800467,"11320/10644/5241/9701/51566/10135/858/975/3925/1968/80328/55143/948/56950/5099/345778/5101/6648",18
"SGCGSSAAA_E2F1DP2_01","SGCGSSAAA_E2F1DP2_01","SGCGSSAAA_E2F1DP2_01","14/704","170/27978",0.000108385995847849,0.00794125686651067,0.00649481166389933,"4171/284403/79960/7023/5427/9924/4609/5292/29028/5979/4176/6241/1946/389792",14
"MIR4773","MIR4773","MIR4773","15/704","194/27978",0.000126686566464029,0.00898782169576094,0.00735075192301704,"7175/4254/10175/858/857/64168/23767/23164/9924/9700/2799/2177/23705/4673/9824",15
"SOX9_B1","SOX9_B1","SOX9_B1","17/704","239/27978",0.000128653905764887,0.00898782169576094,0.00735075192301704,"2260/55632/6319/23002/2335/23767/7153/948/9585/8573/3087/10018/10395/6657/23705/7088/4082",17
"NR1H4_TARGET_GENES","NR1H4_TARGET_GENES","NR1H4_TARGET_GENES","20/704","317/27978",0.000175263605836646,0.0119657243621201,0.00978625014408448,"26999/6720/3383/9209/4792/152503/64747/5447/25870/23164/114904/8991/83734/11282/6609/4597/4054/116447/653820/400793",20
"MIR4651","MIR4651","MIR4651","15/704","203/27978",0.000208554052899951,0.013814913208096,0.0112986219874189,"7023/4923/3488/1026/5420/84824/116113/408/1952/10525/1915/89797/1946/4059/2878",15
"GTGGGTGK_UNKNOWN","GTGGGTGK_UNKNOWN","GTGGGTGK_UNKNOWN","19/704","297/27978",0.000211546607048074,0.013814913208096,0.0112986219874189,"6558/7023/1209/5054/7046/642/8553/26298/57575/351/56950/1758/1915/516/284110/1960/84975/11248/10134",19
"TCANNTGAY_SREBP1_01","TCANNTGAY_SREBP1_01","TCANNTGAY_SREBP1_01","26/704","479/27978",0.000232051716430216,0.0141523718781256,0.0115746148866582,"2519/5476/537/7023/57192/23594/2717/51566/57617/5585/64101/53/351/1382/8416/90993/673/9114/4296/1649/627/84975/23466/3916/7405/780",26
"STAT5A_03","STAT5A_03","STAT5A_03","18/704","275/27978",0.000232771910488398,0.0141523718781256,0.0115746148866582,"4254/2239/79960/5427/7358/2335/80303/3925/23767/114904/5292/4041/6280/4982/255743/23705/8349/4082",18
"E2F_Q3","E2F_Q3","E2F_Q3","16/704","228/27978",0.000234287686506215,0.0141523718781256,0.0115746148866582,"4171/79960/5427/3925/3178/5292/429/10733/29028/2898/4176/1501/983/22845/389792/9824",16
"MIR6889_5P","MIR6889_5P","MIR6889_5P","4/704","13/27978",0.000237105372298358,0.0141523718781256,0.0115746148866582,"6387/396/79180/1952",4
"FOXO4_TARGET_GENES","FOXO4_TARGET_GENES","FOXO4_TARGET_GENES","19/704","300/27978",0.000240269961978831,0.0141523718781256,0.0115746148866582,"211/7175/55771/2222/9701/57130/84263/51520/5570/6194/5211/6189/673/3148/83986/2194/4296/84875/283131",19
"PITX1_TARGET_GENES","PITX1_TARGET_GENES","PITX1_TARGET_GENES","21/704","351/27978",0.000251890010752275,0.0145514921596122,0.0119010381598342,"5982/6175/4522/57617/2091/51599/6206/9528/55157/4245/891/3178/4008/7385/161835/1915/124565/673/4597/22928/84188",21
"MIR9_5P","MIR9_5P","MIR9_5P","26/704","483/27978",0.000263813212810461,0.0149527337977854,0.0122291963991979,"4254/93166/3161/10644/7145/3655/30844/900/25902/23767/6533/2317/9445/116113/5045/396/341640/196463/285368/2899/6383/5099/111/51363/3916/6256",26
