"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GSE15750_DAY6_VS_DAY10_EFF_CD8_TCELL_UP","GSE15750_DAY6_VS_DAY10_EFF_CD8_TCELL_UP","GSE15750_DAY6_VS_DAY10_EFF_CD8_TCELL_UP","62/696","200/21355",2.5516059316305e-43,1.29264356496401e-39,8.62442804891108e-40,"55635/7431/259266/55771/3161/4171/10403/6790/22974/332/1033/4605/5932/7468/10635/7272/10112/1058/2274/991/3925/4751/8727/23397/4502/54478/151648/51659/7153/55143/9700/10592/10541/79075/6941/57082/3832/55165/1062/11004/83540/64946/9133/90993/29127/57650/4085/221150/4176/5347/55872/150468/699/983/6241/1163/11065/9212/128239/55010/4603/9824",62
"GSE13547_CTRL_VS_ANTI_IGM_STIM_BCELL_12H_UP","GSE13547_CTRL_VS_ANTI_IGM_STIM_BCELL_12H_UP","GSE13547_CTRL_VS_ANTI_IGM_STIM_BCELL_12H_UP","56/696","187/21355",2.79061118675254e-38,7.06861813604418e-35,4.71613290561179e-35,"10460/55635/7431/259266/55771/3161/54820/10403/6790/22974/332/24137/23594/1033/10635/7272/4001/2274/3925/9928/23397/4502/9787/1854/57153/151648/7153/5983/55143/10592/6941/23787/57082/3832/55165/1062/675/83540/890/4288/64946/9133/29127/3148/4085/4176/5347/55872/699/983/6241/1163/9212/4603/8519/9824",56
"GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP","GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP","GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP","54/696","200/21355",2.36728883775768e-34,3.99756175069347e-31,2.66714542387365e-31,"54443/10460/55635/259266/55771/3161/334/6790/22974/332/24137/1033/4605/2887/10635/7272/10112/1058/3925/4751/23397/1026/4502/1854/54478/7153/10592/6941/57082/55165/9585/1062/83540/2177/890/4288/64946/9133/29127/57650/3148/4085/221150/5347/55872/150468/699/983/6241/1163/11065/9212/55010/9824",54
"GSE13547_2H_VS_12_H_ANTI_IGM_STIM_BCELL_UP","GSE13547_2H_VS_12_H_ANTI_IGM_STIM_BCELL_UP","GSE13547_2H_VS_12_H_ANTI_IGM_STIM_BCELL_UP","49/696","175/21355",4.46521934269173e-32,5.65520029751908e-29,3.77311034457451e-29,"54443/10460/259266/55771/3161/634/10403/22974/332/24137/1033/3055/30844/7272/991/3925/9928/23397/151648/7153/55143/948/6941/57082/3832/55165/1062/83540/6004/890/10769/4288/5352/9133/151354/3148/493869/9232/55872/150468/699/983/6241/1163/51301/4603/23654/9824/286827",49
"GSE14415_NATURAL_TREG_VS_TCONV_DN","GSE14415_NATURAL_TREG_VS_TCONV_DN","GSE14415_NATURAL_TREG_VS_TCONV_DN","49/696","180/21355",1.91943468519035e-31,1.94477122303486e-28,1.29753784718868e-28,"10460/7431/259266/55771/3161/4171/10403/6790/22974/332/24137/1033/994/7272/4001/5618/1718/3925/9928/23397/9787/1854/151648/7153/55143/10592/10541/23787/57082/3832/55165/1062/83540/890/64946/9133/3148/4085/4176/5347/55872/150468/699/983/6241/1163/128239/4603/9824",49
"HOWARD_NK_CELL_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_18_49YO_3DY_UP","HOWARD_NK_CELL_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_18_49YO_3DY_UP","HOWARD_NK_CELL_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_18_49YO_3DY_UP","33/696","68/21355",3.83909585823473e-31,3.24147660296952e-28,2.16269066680556e-28,"54443/259266/55771/22974/332/4605/10112/991/3925/9928/23397/81930/11130/9787/54478/7153/55143/10024/9700/57082/1062/675/11004/890/4288/79682/221150/150468/699/983/6241/11065/9212",33
"GSE39110_DAY3_VS_DAY6_POST_IMMUNIZATION_CD8_TCELL_DN","GSE39110_DAY3_VS_DAY6_POST_IMMUNIZATION_CD8_TCELL_DN","GSE39110_DAY3_VS_DAY6_POST_IMMUNIZATION_CD8_TCELL_DN","47/696","200/21355",4.10330029201767e-27,2.96961703990879e-24,1.98130785528853e-24,"54443/259266/55771/9319/7145/6790/22974/332/24137/4605/30844/642/10635/7272/10112/9173/991/3925/4751/11113/1026/10606/151648/7153/3832/55165/1062/11004/83540/51097/2177/890/3087/5352/9133/9401/29127/221150/5347/51148/55872/255743/699/983/1163/11065/55010",47
"GSE24634_TEFF_VS_TCONV_DAY7_IN_CULTURE_UP","GSE24634_TEFF_VS_TCONV_DAY7_IN_CULTURE_UP","GSE24634_TEFF_VS_TCONV_DAY7_IN_CULTURE_UP","46/696","200/21355",3.96378097305601e-26,2.23116826772242e-23,1.48861996543659e-23,"10460/259266/9319/3161/4171/10403/6790/22974/24137/5932/9780/2625/10635/10112/1058/991/3925/4602/23397/11130/9787/51659/5983/891/55143/9700/3832/55165/1062/55215/10733/11004/890/9133/29127/824/3148/4085/9232/4176/5347/81620/983/5569/6241/11065",46
"GSE36476_CTRL_VS_TSST_ACT_72H_MEMORY_CD4_TCELL_OLD_DN","GSE36476_CTRL_VS_TSST_ACT_72H_MEMORY_CD4_TCELL_OLD_DN","GSE36476_CTRL_VS_TSST_ACT_72H_MEMORY_CD4_TCELL_OLD_DN","46/696","200/21355",3.96378097305601e-26,2.23116826772242e-23,1.48861996543659e-23,"211/259266/9319/3161/4171/6790/22974/24137/5427/4522/28231/5932/2717/10112/1058/991/3925/4602/23397/11130/9787/10606/51659/7153/891/9700/10592/26509/3832/55165/55215/10733/890/4288/79682/9133/29127/4176/6241/1163/11065/9212/2517/1960/22928/84975",46
"GSE36476_CTRL_VS_TSST_ACT_72H_MEMORY_CD4_TCELL_YOUNG_DN","GSE36476_CTRL_VS_TSST_ACT_72H_MEMORY_CD4_TCELL_YOUNG_DN","GSE36476_CTRL_VS_TSST_ACT_72H_MEMORY_CD4_TCELL_YOUNG_DN","45/696","200/21355",3.7180386034962e-25,1.88355835653118e-22,1.25669704798172e-22,"259266/3161/4171/6790/332/5427/1033/5641/5932/2717/10635/7272/10112/57415/1058/991/3925/4602/23397/11130/9787/10606/1854/51659/7153/891/55143/9700/26509/3832/55165/1062/55215/11004/4288/9133/9232/4176/55872/699/6241/1163/11065/1960/3303",45
"GSE39556_CD8A_DC_VS_NK_CELL_MOUSE_3H_POST_POLYIC_INJ_UP","GSE39556_CD8A_DC_VS_NK_CELL_MOUSE_3H_POST_POLYIC_INJ_UP","GSE39556_CD8A_DC_VS_NK_CELL_MOUSE_3H_POST_POLYIC_INJ_UP","44/696","200/21355",3.38504685611407e-24,1.55896794300671e-21,1.04013257942414e-21,"9319/3161/10403/6790/22974/5427/1033/4522/5932/10635/7272/10051/1058/991/8503/4751/9928/8727/23397/11130/11113/9787/10606/7153/5983/891/10024/9700/3832/9585/1062/55215/10733/11004/890/9133/23306/699/983/5569/6241/1163/2629/9824",44
"GSE14415_INDUCED_VS_NATURAL_TREG_DN","GSE14415_INDUCED_VS_NATURAL_TREG_DN","GSE14415_INDUCED_VS_NATURAL_TREG_DN","42/696","181/21355",4.06703504257182e-24,1.71696662713907e-21,1.14554820365773e-21,"10460/259266/9319/3161/4171/22974/332/24137/5935/11151/7272/4001/1058/9173/3925/9928/4602/4502/9787/151648/7153/55143/10592/57082/3832/55165/10733/11004/83540/890/4288/64946/9133/5347/55872/150468/699/983/1163/8519/4673/9824",42
