"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GOBP_MITOTIC_NUCLEAR_DIVISION","GOBP_MITOTIC_NUCLEAR_DIVISION","GOBP_MITOTIC_NUCLEAR_DIVISION","49/665","296/19413",3.22639379531792e-20,2.64499763340163e-16,2.11481622773102e-16,"54443/10460/7175/9319/54820/10403/8555/6790/22974/24137/4605/858/25906/7272/10051/991/4751/9928/23397/81930/11130/652/9787/151648/891/55143/9700/10592/79075/3832/55165/9585/1062/11004/83540/4288/29127/4041/7039/4085/9232/5347/81620/699/11065/9212/3304/3303/7124",49
"GOBP_ORGANELLE_FISSION","GOBP_ORGANELLE_FISSION","GOBP_ORGANELLE_FISSION","60/665","496/19413",1.43485054993426e-17,5.88145240418055e-14,4.70253388128456e-14,"54443/10460/7175/259266/9319/54820/10403/8555/6790/22974/24137/57820/4605/994/858/25906/10635/7272/10051/991/4751/9928/23397/81930/11130/652/9787/151648/7153/891/55143/9700/10592/79075/3832/55165/9585/1062/675/10609/11004/83540/2177/4288/10018/9133/29127/4041/7039/4085/9232/5347/81620/699/11065/9212/4603/3304/3303/7124",60
"GOCC_CYTOSOLIC_RIBOSOME","GOCC_CYTOSOLIC_RIBOSOME","GOCC_CYTOSOLIC_RIBOSOME","26/665","102/19413",5.40040523482983e-16,1.44637970679717e-12,1.15645747155609e-12,"6175/6164/6206/6146/6230/6144/6125/440275/6194/6229/6202/6233/6189/6130/6133/6157/3921/6201/6124/6165/6228/9045/347/6136/6170/6222",26
"GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION","GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION","GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION","33/665","173/19413",7.05723204097182e-16,1.44637970679717e-12,1.15645747155609e-12,"10460/7175/9319/10403/24137/25906/7272/10051/991/4751/9928/23397/81930/11130/9787/151648/891/55143/9700/10592/79075/55165/1062/11004/83540/29127/4085/9232/5347/81620/699/11065/9212",33
"GOCC_CELL_SUBSTRATE_JUNCTION","GOCC_CELL_SUBSTRATE_JUNCTION","GOCC_CELL_SUBSTRATE_JUNCTION","52/665","431/19413",2.56009943985564e-15,4.19753904158731e-12,3.35615562357497e-12,"3675/7431/9564/1535/23224/7145/118/6175/3383/3655/3055/858/857/975/9173/2274/6146/6125/6385/1948/23767/5819/23164/2317/4008/6386/6202/6278/6189/2768/8573/7739/6130/10525/23385/824/23114/6133/10395/6522/567/6201/682/6124/4810/51466/4311/6136/3304/3303/6222/4082",52
"GOBP_SISTER_CHROMATID_SEGREGATION","GOBP_SISTER_CHROMATID_SEGREGATION","GOBP_SISTER_CHROMATID_SEGREGATION","34/665","207/19413",2.67982215991747e-14,3.66153034450057e-11,2.9275881736502e-11,"10460/7175/9319/10403/24137/25906/7272/10051/991/4751/9928/23397/81930/11130/9787/151648/7153/891/55143/9700/10592/79075/55165/1062/11004/83540/29127/4085/9232/5347/81620/699/11065/9212",34
"GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION_INVOLVED_IN_MITOSIS","GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION_INVOLVED_IN_MITOSIS","GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION_INVOLVED_IN_MITOSIS","28/665","153/19413",3.33404318988004e-13,3.90464086723379e-10,3.12196796141098e-10,"10460/7175/54820/284403/10403/6790/22974/24137/4605/7272/1058/991/3925/4751/9787/891/9700/3832/1062/83540/10769/64946/29127/4085/5347/9212/3304/3303",28
"GOBP_CHROMOSOME_SEGREGATION","GOBP_CHROMOSOME_SEGREGATION","GOBP_CHROMOSOME_SEGREGATION","43/665","350/19413",3.84004084344602e-13,3.93508185432131e-10,3.14630714896557e-10,"10460/7175/9319/54820/10403/24137/57820/25906/7272/10051/991/4751/9928/23397/81930/11130/9787/151648/7153/891/55143/9700/10592/79075/57082/55165/1062/10609/11004/83540/2177/4288/64946/29127/4085/9232/221150/5347/81620/699/11065/9212/7405",43
"GOBP_NUCLEAR_CHROMOSOME_SEGREGATION","GOBP_NUCLEAR_CHROMOSOME_SEGREGATION","GOBP_NUCLEAR_CHROMOSOME_SEGREGATION","38/665","289/19413",1.1320717944011e-12,1.03119161894447e-09,8.24492522074346e-10,"10460/7175/9319/10403/24137/57820/25906/7272/10051/991/4751/9928/23397/81930/11130/9787/151648/7153/891/55143/9700/10592/79075/57082/55165/1062/10609/11004/83540/2177/29127/4085/9232/5347/81620/699/11065/9212",38
"GOBP_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION","GOBP_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION","GOBP_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION","23/665","111/19413",2.95862851826763e-12,2.4254836592758e-09,1.93930313507921e-09,"7175/9319/10403/6790/858/25906/7272/4751/11130/652/9787/891/9700/9585/4288/4041/7039/4085/5347/81620/699/9212/7124",23
"GOBP_MITOTIC_SPINDLE_ORGANIZATION","GOBP_MITOTIC_SPINDLE_ORGANIZATION","GOBP_MITOTIC_SPINDLE_ORGANIZATION","24/665","126/19413",6.73978847774364e-12,5.02298054004931e-09,4.01613998573298e-09,"10460/7175/284403/10403/6790/22974/24137/4605/7272/991/3925/4751/9787/891/3832/1062/83540/10769/64946/29127/5347/9212/3304/3303",24
"GOBP_REGULATION_OF_MITOTIC_CELL_CYCLE","GOBP_REGULATION_OF_MITOTIC_CELL_CYCLE","GOBP_REGULATION_OF_MITOTIC_CELL_CYCLE","49/665","480/19413",9.16192333300342e-12,5.84302501548573e-09,4.67180914105233e-09,"54443/7175/9319/79960/10403/8555/10269/6790/7023/5641/994/858/25906/896/7272/900/4751/9928/11130/1026/652/9787/891/9700/4609/6386/9585/1062/429/675/351/2177/10769/4288/4041/7039/4085/5347/81620/84632/699/983/5569/596/6241/1163/11065/9212/7124",49
"GOBP_REGULATION_OF_NUCLEAR_DIVISION","GOBP_REGULATION_OF_NUCLEAR_DIVISION","GOBP_REGULATION_OF_NUCLEAR_DIVISION","25/665","139/19413",9.26559224217059e-12,5.84302501548573e-09,4.67180914105233e-09,"7175/9319/10403/6790/858/25906/10635/7272/991/4751/11130/652/9787/891/9700/9585/4288/4041/7039/4085/5347/81620/699/9212/7124",25
