"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GNF2_CDC20","GNF2_CDC20","GNF2_CDC20","36/505","56/10013",1.81510103677334e-33,1.29961234232971e-30,1.089060622064e-30,"259266/3161/4171/10403/6790/22974/332/24137/7468/7272/10112/10051/991/23397/11130/9787/7153/55143/9700/10592/3832/1062/10733/11004/890/4288/9133/29127/9232/5347/699/983/6241/1163/11065/9212",36
"GNF2_CCNA2","GNF2_CCNA2","GNF2_CCNA2","38/505","68/10013",5.720251183505e-32,2.04784992369479e-29,1.7160753550515e-29,"259266/3161/4171/10403/6790/22974/332/24137/10635/7272/10112/10051/1058/991/9928/11130/9787/51659/7153/5983/55143/9700/10592/3832/1062/55215/890/4288/9133/29127/3148/4176/5347/983/6241/1163/11065/9212",38
"GNF2_CCNB2","GNF2_CCNB2","GNF2_CCNB2","34/505","57/10013",4.78136129422067e-30,1.14115156222067e-27,9.56272258844134e-28,"259266/3161/4171/10403/6790/22974/332/24137/7468/7272/10112/10051/991/23397/11130/9787/7153/55143/9700/10592/3832/1062/10733/11004/890/9133/29127/3148/9232/55872/699/983/6241/11065",34
"GNF2_HMMR","GNF2_HMMR","GNF2_HMMR","30/505","47/10013",6.4398406389289e-28,1.15273147436827e-25,9.65976095839335e-26,"259266/3161/4171/10403/6790/332/7272/10112/10051/991/11130/9787/51659/7153/5983/55143/9700/10592/3832/1062/10733/890/4288/9133/5347/699/983/6241/11065/9212",30
"GNF2_CDC2","GNF2_CDC2","GNF2_CDC2","33/505","62/10013",5.87714478720249e-27,8.41607133527397e-25,7.05257374464299e-25,"259266/3161/4171/10403/6790/22974/332/24137/4605/7468/7272/10112/10051/991/11130/9787/51659/7153/5983/55143/10592/3832/1062/55215/10733/890/4288/9133/3148/9232/983/6241/11065",33
"GNF2_CENPF","GNF2_CENPF","GNF2_CENPF","32/505","62/10013",1.2994763736618e-25,1.55070847256975e-23,1.2994763736618e-23,"259266/3161/4171/10403/6790/22974/332/24137/4605/7468/7272/10051/991/11130/9787/51659/7153/55143/10592/3832/1062/55215/10733/890/4288/9133/3148/9232/4176/983/6241/11065",32
"GNF2_ESPL1","GNF2_ESPL1","GNF2_ESPL1","25/505","35/10013",2.38375012649413e-25,2.43823584367114e-23,2.04321439413782e-23,"259266/3161/22974/332/10112/1058/991/10606/7153/55143/9700/10592/3832/1062/11004/890/4288/9133/4085/5347/699/6241/1163/11065/9212",25
"GNF2_PCNA","GNF2_PCNA","GNF2_PCNA","33/505","68/10013",2.98796496843351e-25,2.67422864674799e-23,2.24097372632513e-23,"259266/3161/4171/10403/6790/22974/332/5427/4605/7468/10635/7272/10051/991/11130/9787/51659/7153/55143/9700/10592/3832/1062/55215/10733/890/4288/9133/29127/3148/4176/983/6241",33
"GNF2_MCM4","GNF2_MCM4","GNF2_MCM4","29/505","53/10013",2.75705721927104e-24,2.19339218777562e-22,1.83803814618069e-22,"259266/3161/4171/10403/6790/10635/7272/4001/10051/991/9928/11130/10606/51659/7153/5983/55143/9700/3832/55215/890/9133/29127/4085/4176/699/6241/11065/9212",29
"MODULE_54","MODULE_54","MODULE_54","60/505","262/10013",4.64644514534423e-24,3.32685472406647e-22,2.78786708720654e-22,"54443/10460/55635/259266/55771/9319/3161/4171/10403/6790/22974/332/5427/1033/4605/994/7272/4001/10051/1058/991/4751/9928/23397/11130/9787/54478/51659/7153/5983/891/10024/10592/3832/55165/1062/9123/10733/11004/83540/890/4288/29028/9133/9401/3148/4085/9232/4176/5347/23306/55872/699/983/6241/118430/1163/11065/9212/9824",60
"GNF2_BUB1B","GNF2_BUB1B","GNF2_BUB1B","27/505","49/10013",8.4386388031182e-23,5.49278671184785e-21,4.60289389260993e-21,"259266/3161/4171/10403/6790/7272/10112/4001/10051/991/9928/11130/10606/7153/55143/9700/3832/55165/55215/890/9133/29127/5347/699/6241/11065/9212",27
