"","Nalm6_0hr_Pred_Rep1","Nalm6_0hr_Pred_Rep2","Nalm6_0hr_Pred_Rep3","A687_24hr_Pred_Rep1","A687_24hr_Pred_Rep2","A687_24hr_Pred_Rep3"
"ABHD17AP9",0,0,0,0,0,0
"ABHD17B",6085,4617,6212,3453,3787,3109
"ABHD17C",2152,1609,2350,803,900,658
"ABHD18",3617,2926,4202,1062,1130,917
"ABHD2",7072,5246,7585,2614,2638,2189
"ABHD3",4142,3092,4600,1074,1064,962
"ABHD4",609,457,653,29,32,39
"ABHD5",1384,1029,1628,551,572,441
"ABHD6",1290,947,1514,298,343,279
"ABHD8",137,106,117,8,11,4
"ABI1",5299,3894,5585,6362,6659,5537
"ABI2",6893,5240,7651,5849,6030,5014
"ABI3",515,322,454,84,70,56
"ABI3BP",26,23,24,0,0,0
"ABL1",15861,11585,16862,5884,5979,5182
"ABL2",4791,3439,4559,2489,2668,2185
"ABLIM1",1675,1286,1901,73,79,72
"ABLIM2",95,62,84,133,114,91
"ABLIM3",25,20,29,0,0,0
"ABO",0,0,1,0,0,0
"ABR",246,181,261,5020,4997,4541
"ABRA",0,0,0,0,0,0
"ABRACL",9275,6443,9261,2887,2978,2481
"ABT1",6571,4719,6946,1482,1269,1149
"ABT1P1",1,1,1,0,1,0
"ABTB1",942,657,842,490,463,402
"ABTB2",54,46,62,10,9,11
"AC000032.2",0,0,0,0,0,0
"AC000035.3",0,0,0,0,0,0
"AC000036.4",0,0,0,0,0,0
"AC000041.10",1,1,0,0,0,0
"AC000041.8",0,2,0,0,0,0
"AC000067.1",0,0,0,0,0,0
"AC000068.10",16,15,13,7,4,1
"AC000068.5",135,119,139,29,32,24
"AC000068.9",40,27,35,12,6,7
"AC000077.2",0,1,0,0,2,0
"AC000078.5",39,38,60,4,3,4
"AC000081.2",0,0,0,0,0,0
"AC000089.3",140,111,141,113,113,49
"AC000095.11",0,0,0,0,0,0
"AC000095.12",0,0,0,0,0,0
"AC000095.9",79,70,86,21,27,20
"AC000099.1",0,0,0,0,0,0
"AC000111.3",0,0,0,0,0,0
"AC000111.4",0,0,0,0,0,0
"AC000111.5",0,0,0,0,0,0
"AC000111.6",0,0,0,0,0,0
"AC000120.7",73,53,67,12,10,15
"AC000123.2",485,404,460,151,128,140
"AC000123.3",210,173,231,61,73,58
"AC000123.4",0,0,0,0,0,0
"AC000124.1",0,0,0,0,0,0
"AC000362.1",0,0,0,0,0,0
"AC000367.1",0,0,0,0,0,0
"AC000370.2",0,0,0,0,0,0
"AC000374.1",0,0,0,0,0,0
"AC000403.4",1,0,2,0,0,0
"AC001226.7",6,2,2,0,6,1
"AC002044.1",0,0,1,0,0,0
"AC002044.3",0,0,0,0,0,0
"AC002044.4",1,0,2,0,0,0
"AC002056.3",53,51,46,9,18,8
"AC002056.5",0,0,0,0,0,0
"AC002059.10",82,55,69,10,9,5
"AC002064.4",0,0,0,0,0,0
"AC002064.5",0,0,0,0,0,0
"AC002064.7",2,2,5,0,0,0
"AC002066.1",0,0,0,0,0,0
"AC002069.5",6,8,12,1,0,1
"AC002069.6",0,0,0,0,0,0
"AC002075.3",0,0,0,0,0,0
"AC002075.4",101,65,95,29,50,12
"AC002076.10",0,0,0,0,0,0
"AC002115.5",0,0,0,0,0,0
"AC002115.9",1,0,0,0,0,0
"AC002116.7",149,128,206,39,36,30
"AC002116.8",0,0,0,0,0,0
"AC002117.1",52,44,48,89,100,54
"AC002127.2",0,0,0,0,0,0
"AC002127.4",0,0,0,0,0,0
"AC002128.5",0,1,1,0,0,0
"AC002306.1",0,0,0,0,1,0
"AC002310.10",11,7,6,1,4,1
"AC002310.11",0,0,0,0,0,0
"AC002310.12",227,170,252,101,125,100
"AC002310.13",0,0,0,0,0,0
"AC002310.14",10,1,4,4,4,4
"AC002310.17",0,0,0,0,0,0
"AC002310.7",67,56,79,11,12,4
"AC002314.4",0,0,0,0,0,0
"AC002331.1",1,0,0,0,0,0
"AC002366.3",0,0,0,0,0,0
"AC002368.4",1,0,1,5,7,9
"AC002383.2",0,0,0,0,0,0
"AC002386.1",0,0,0,0,0,0
"AC002398.11",2,1,1,1,1,0
"AC002398.12",1,1,1,0,0,0
"AC002398.13",2,1,1,0,0,2
"AC002398.9",0,0,0,0,0,0
"AC002400.1",0,0,0,0,0,0
"AC002401.1",0,2,4,0,2,1
"AC002429.4",0,0,0,0,0,0
"AC002429.5",0,0,0,0,0,0
"AC002451.3",0,0,1,0,0,0
"AC002454.1",1304,826,1333,1,2,2
"AC002456.2",35,22,20,51,55,42
"AC002463.3",0,0,0,0,0,0
"AC002465.2",0,0,0,0,0,0
"AC002467.7",81,55,85,39,34,32
"AC002472.11",0,1,0,0,0,0
"AC002480.2",0,0,0,0,0,0
"AC002480.3",0,0,0,2,3,2
"AC002480.4",0,0,0,0,0,0
"AC002480.5",0,0,0,0,0,0
"AC002486.2",0,0,0,0,0,0
"AC002486.3",0,0,0,0,0,0
"AC002511.2",0,0,0,0,0,0
"AC002511.3",0,0,0,0,0,0
"AC002519.6",17,11,26,6,5,5
"AC002519.8",4,4,15,45,56,43
"AC002523.1",0,0,0,0,0,0
"AC002539.1",0,0,0,0,0,0
"AC002542.2",0,0,0,0,0,0
"AC002543.2",0,0,0,0,0,0
"AC002550.5",0,0,0,2,0,1
"AC002550.6",109,81,93,15,22,16
"AC002551.1",0,1,1,0,0,0
"AC002553.4",0,0,0,0,0,0
"AC002984.2",0,2,1,0,0,0
"AC002985.3",0,0,0,0,0,0
"AC003002.4",0,0,0,0,0,0
"AC003002.6",7,11,10,2,6,3
"AC003003.5",0,0,0,0,0,0
"AC003005.2",24,37,26,2,5,5
"AC003005.4",0,0,0,0,0,0
"AC003006.7",0,0,0,0,0,0
"AC003009.1",0,0,0,0,0,0
"AC003045.1",0,0,0,0,0,0
"AC003075.4",0,0,0,0,1,0
"AC003080.4",0,0,0,0,0,0
"AC003084.2",0,0,0,0,0,0
"AC003088.1",1,1,0,0,0,2
"AC003090.1",64,40,52,34,44,44
"AC003092.1",3,0,1,1,0,1
"AC003092.2",0,0,0,0,0,0
"AC003104.1",25,17,28,5,5,8
"AC003664.1",0,0,0,0,0,0
"AC003682.16",25,22,24,8,9,7
"AC003682.17",0,1,0,3,1,0
"AC003956.1",1,0,0,0,0,0
"AC003958.2",0,0,1,0,0,0
"AC003958.6",0,0,0,0,0,0
"AC003973.1",0,0,0,0,0,0
