"","Nalm6_0hr_Pred_Rep1","Nalm6_0hr_Pred_Rep2","Nalm6_0hr_Pred_Rep3","A687_24hr_Pred_Rep1","A687_24hr_Pred_Rep2","A687_24hr_Pred_Rep3"
"FAM181B",0,0,0,0,0,0
"FAM182A",11,10,12,0,1,0
"FAM182B",8,3,3,2,0,4
"FAM183A",0,0,0,0,0,0
"FAM183BP",19,5,7,2,1,3
"FAM183CP",0,0,0,0,0,0
"FAM183DP",0,0,0,0,0,0
"FAM184A",0,1,0,0,0,0
"FAM184B",8,6,18,2,5,4
"FAM185A",130,82,138,32,40,26
"FAM185BP",4,6,3,2,5,0
"FAM186A",2,3,2,0,0,0
"FAM186B",10,9,30,6,18,7
"FAM187A",0,0,0,0,0,0
"FAM187B",0,0,0,0,0,0
"FAM187B2P",2,0,3,3,0,0
"FAM188A",2833,2219,3207,1033,1123,928
"FAM188B",0,0,1,7,6,7
"FAM189A1",1,0,1,1,0,0
"FAM189A2",4,0,2,4,5,0
"FAM189B",3511,2532,3639,1616,1685,1452
"FAM192A",9141,6589,9290,3329,3343,2893
"FAM193A",5163,3680,5607,1366,1231,1105
"FAM193B",11320,8440,12152,3478,3362,3011
"FAM196A",0,0,2,0,0,1
"FAM196B",0,0,0,0,0,0
"FAM197Y1P",0,0,0,0,0,0
"FAM197Y2P",0,0,0,0,0,0
"FAM197Y3",0,0,0,0,0,0
"FAM197Y4P",0,0,0,0,0,0
"FAM197Y5P",0,0,0,0,0,0
"FAM197Y6",0,0,0,0,0,0
"FAM197Y7P",0,0,0,0,0,0
"FAM197Y8",0,0,0,0,0,0
"FAM197Y9",0,0,0,0,0,0
"FAM198A",2,2,2,0,0,0
"FAM198B",5,2,13,188,193,161
"FAM199X",5999,4551,6577,2887,2971,2508
"FAM19A1",0,0,0,482,470,357
"FAM19A2",191,117,197,74,66,53
"FAM19A3",1,2,1,1,0,0
"FAM19A4",0,0,0,0,0,0
"FAM19A5",14399,9981,13994,12,13,14
"FAM200A",523,336,563,204,214,181
"FAM200B",1302,1020,1516,339,353,305
"FAM201A",0,0,0,0,0,0
"FAM201B",0,0,0,0,0,0
"FAM203B",1,1,0,0,0,1
"FAM204A",5701,3940,5513,1491,1589,1258
"FAM204BP",2,1,2,1,2,0
"FAM204CP",0,0,0,0,0,0
"FAM205A",0,0,0,0,0,0
"FAM205BP",0,0,0,0,0,0
"FAM205C",0,0,0,0,0,0
"FAM206A",2809,2101,3172,673,736,590
"FAM206BP",0,0,2,0,0,0
"FAM207A",4732,3566,4961,1033,1029,831
"FAM207BP",10,5,4,1,2,3
"FAM207CP",2,1,2,0,0,0
"FAM208A",12494,9734,13769,4766,5059,4002
"FAM208B",19440,14483,19447,4098,4354,3467
"FAM209A",122,110,110,7,8,6
"FAM209B",62,40,66,2,8,4
"FAM20A",2,1,2,0,0,0
"FAM20B",9606,6904,10220,5331,5309,4437
"FAM20C",170,131,198,2760,2781,2400
"FAM210A",3148,2440,3673,1148,1278,1048
"FAM210B",1164,882,1304,46,66,39
"FAM210CP",0,1,0,0,0,0
"FAM212A",3280,2227,3183,598,636,559
"FAM212B",2818,2206,3277,526,496,453
"FAM212B-AS1",10,12,20,6,2,8
"FAM213A",6707,4796,7192,3163,3180,2668
"FAM213B",3268,2280,3333,1309,1300,1151
"FAM214A",3504,2789,3628,2191,2317,1861
"FAM214B",693,481,682,707,673,645
"FAM215A",0,0,0,2,0,0
"FAM215B",7,2,0,1,1,1
"FAM216A",4162,2981,4415,1874,1911,1619
"FAM216B",0,0,0,0,0,0
"FAM217A",0,0,0,0,0,0
"FAM217B",6305,4754,6858,2475,2679,2127
"FAM218A",57,34,59,0,0,0
"FAM218BP",0,0,0,0,0,0
"FAM219A",2460,1846,2606,1200,1248,1028
"FAM219B",6564,4789,7072,159,232,161
"FAM21A",1359,994,1470,208,215,195
"FAM21B",1153,914,1318,637,682,578
"FAM21C",3040,2242,3247,1146,1257,1132
"FAM21D",1,0,0,0,0,0
"FAM21EP",9,3,7,8,13,8
"FAM21FP",35,20,33,15,12,14
"FAM220A",1995,1433,2141,710,688,585
"FAM220BP",2,1,1,0,0,0
"FAM220CP",4,2,1,0,0,0
"FAM221A",1352,1026,1376,853,933,792
"FAM221B",0,0,0,0,0,0
"FAM222A",1958,1427,2047,80,86,72
"FAM222A-AS1",0,0,0,0,0,0
"FAM222B",1852,1283,1898,1041,1078,903
"FAM223A",0,0,0,3,2,4
"FAM223B",14,5,13,0,0,1
"FAM224A",0,0,0,0,0,0
"FAM224B",0,0,0,0,0,0
"FAM225A",0,1,0,0,0,0
"FAM225B",0,0,0,0,0,0
"FAM227A",161,149,229,105,125,120
"FAM227B",151,104,138,102,96,86
"FAM228A",3,4,3,0,0,0
"FAM228B",366,264,438,117,109,80
"FAM229A",1401,968,1302,527,580,451
"FAM229B",612,467,590,41,47,55
"FAM230A",0,0,0,0,0,0
"FAM230B",0,0,0,0,0,0
"FAM230C",0,0,0,0,0,0
"FAM231A",0,0,0,0,0,0
"FAM231C",0,0,0,0,0,0
"FAM231D",64,27,46,0,0,0
"FAM234A",2092,1471,2088,848,764,664
"FAM234B",4818,3623,5202,633,603,479
"FAM24A",0,0,0,0,0,0
"FAM24B",142,133,146,156,200,165
"FAM25A",0,0,0,0,0,0
"FAM25B",0,0,0,0,0,0
"FAM25BP",0,0,0,0,0,0
"FAM25C",0,0,0,0,0,0
"FAM25D",0,0,0,0,0,0
"FAM25E",0,0,0,0,0,0
"FAM25G",0,0,0,0,0,0
"FAM26D",0,0,0,0,0,0
"FAM26E",1,1,1,0,0,0
"FAM26F",868,654,887,0,0,1
"FAM27A",15,11,14,12,14,12
"FAM27B",0,1,1,0,0,0
"FAM27C",0,0,5,0,2,0
"FAM27D1",0,0,0,0,0,0
"FAM27E1",5,5,18,3,3,1
"FAM27E2",14,4,8,4,2,2
"FAM27E3",49,28,52,13,20,19
"FAM27E4",0,0,0,0,0,0
"FAM27E5",0,0,0,0,0,0
"FAM32A",7165,4812,7310,3012,3059,2587
"FAM32BP",1,0,0,0,0,1
"FAM35A",7831,5575,8240,2678,2742,2375
"FAM35BP",43,32,29,7,10,9
"FAM35CP",7,7,5,0,1,3
"FAM35DP",94,80,130,28,27,14
"FAM35EP",0,0,0,0,0,0
"FAM3A",2075,1484,1984,965,964,813
"FAM3B",9,4,2,0,0,0
"FAM3C",4812,3540,4910,4236,4456,3793
"FAM3C2",123,98,119,119,114,97
"FAM3D",0,0,0,1,2,8
"FAM3D-AS1",0,0,0,1,0,1
"FAM41AY1",0,0,0,0,0,0
"FAM41AY2",0,0,0,0,0,0
"FAM41C",0,1,0,0,0,0
"FAM43A",1224,781,1178,3174,3297,2682
"FAM43B",5,6,13,0,0,0
"FAM45A",1204,934,1286,876,914,755
"FAM45BP",13,11,13,9,5,9
"FAM46A",1,9,1,0,0,0
"FAM46B",244,179,185,24,23,14
"FAM46C",4422,2898,3996,49,57,41
"FAM46D",0,0,0,0,0,0
"FAM47A",0,0,0,0,0,0
"FAM47B",0,0,0,0,0,0
"FAM47C",0,0,0,0,0,0
"FAM47DP",0,0,0,0,0,0
"FAM47E",0,6,7,2,2,1
"FAM47E-STBD1",0,0,0,0,0,0
"FAM49A",36,21,51,1731,1766,1370
"FAM49B",13724,10203,14474,6297,6439,5331
"FAM50A",5274,3778,5380,1766,1727,1416
"FAM50B",0,1,0,0,0,0
"FAM53A",123,81,113,21,26,13
"FAM53B",3034,2040,3102,3247,3180,2856
"FAM53B-AS1",0,0,1,0,0,0
"FAM53C",10059,7408,10949,3277,3613,2841
"FAM57A",34,35,43,877,865,735
"FAM57B",259,209,226,96,80,80
"FAM58A",1579,1126,1633,776,810,692
"FAM58BP",0,0,0,0,0,0
"FAM58CP",1,0,0,0,0,0
"FAM58DP",12,7,6,7,10,6
"FAM60A",24517,18485,25594,8036,8395,6768
"FAM60BP",22,22,27,11,10,10
"FAM60CP",26,18,43,18,15,11
"FAM60DP",0,0,0,0,0,0
"FAM63A",425,296,394,935,952,795
"FAM63B",1754,1257,1949,1168,1144,966
"FAM64A",2679,1928,2934,1354,1351,1084
"FAM65A",5465,4004,5693,1556,1622,1443
"FAM65B",726,559,771,2359,2513,2100
"FAM65C",2,0,0,0,0,0
"FAM66A",0,0,1,11,5,9
"FAM66B",1,2,0,0,1,0
"FAM66C",72,61,64,0,0,0
"FAM66D",8,8,8,2,1,2
"FAM66E",2,2,0,1,0,0
"FAM69A",924,687,1051,644,691,580
"FAM69B",13375,9595,12604,2184,2176,2049
"FAM69C",0,0,0,1,0,0
"FAM71A",5,6,4,0,3,0
"FAM71B",0,0,1,0,0,0
"FAM71BP1",0,0,0,0,0,0
"FAM71C",0,0,0,0,0,0
"FAM71D",70,44,60,22,18,10
"FAM71E1",53,47,77,13,11,11
"FAM71E2",0,1,0,0,2,1
"FAM71F1",14,12,15,6,11,5
"FAM72A",1164,910,1376,407,417,356
"FAM72B",1648,1258,1978,440,466,408
"FAM72C",316,209,342,72,78,68
"FAM72D",1217,953,1398,346,325,285
"FAM73A",763,631,876,244,265,206
"FAM73B",6231,4570,6549,2824,2794,2414
"FAM74A1",0,0,0,0,0,0
"FAM74A2",0,0,0,0,0,0
"FAM74A3",0,0,0,0,0,0
"FAM74A4",0,0,0,0,0,0
"FAM74A6",0,0,0,0,0,0
"FAM74A7",0,0,0,0,0,0
"FAM76A",2178,1484,2168,518,548,455
"FAM76B",6832,5412,7123,1615,1830,1463
"FAM78A",132,100,171,1979,1966,1661
"FAM78B",1,2,1,499,504,398
"FAM81A",164,134,209,525,498,446
"FAM81B",0,0,0,0,0,0
"FAM83A",4,0,11,2,0,5
"FAM83A-AS1",2,0,0,0,3,0
"FAM83B",0,0,0,0,0,0
"FAM83C",5,1,2,1,0,0
"FAM83C-AS1",8,7,11,0,1,0
"FAM83D",3979,2747,3900,920,934,806
"FAM83E",211,162,286,22,19,33
"FAM83F",1,2,1,1,4,3
"FAM83G",8,2,0,0,0,0
"FAM83H",1,0,0,0,0,0
"FAM83H-AS1",1,0,2,0,0,1
"FAM84A",5,1,4,0,0,0
"FAM84B",0,0,0,1,1,2
"FAM85B",11,12,18,6,8,4
"FAM86B1",253,197,244,265,251,215
"FAM86B2",3,3,3,13,25,26
"FAM86B3P",371,260,326,344,363,342
"FAM86C1",870,609,962,346,339,293
"FAM86C2P",463,340,517,427,401,324
"FAM86DP",1124,780,1147,276,293,238
"FAM86EP",406,311,476,90,109,97
"FAM86FP",119,81,112,36,41,31
"FAM86GP",2,0,1,7,7,7
"FAM86HP",359,256,399,384,397,362
"FAM86JP",300,194,289,121,109,94
"FAM86KP",21,12,30,0,1,0
"FAM86LP",1,0,0,0,0,0
"FAM86MP",6,5,3,2,0,0
"FAM87A",0,0,0,0,3,0
"FAM87B",2,1,2,0,0,0
"FAM89A",0,0,2,103,135,103
"FAM89B",245,174,251,93,56,38
"FAM8A1",2162,1595,2320,1547,1539,1316
"FAM8A2P",0,0,1,0,1,0
"FAM8A3P",0,0,0,0,0,0
"FAM8A4P",0,0,0,0,0,0
"FAM8A6P",0,0,0,0,0,0
"FAM90A1",6,7,6,1,0,0
"FAM90A10P",0,0,0,0,0,0
"FAM90A11P",0,0,0,0,1,0
"FAM90A12P",0,0,0,0,0,0
"FAM90A13P",0,0,0,0,0,0
"FAM90A14P",0,0,0,0,0,0
"FAM90A15P",0,0,0,0,0,0
"FAM90A16P",0,0,0,0,0,0
"FAM90A17P",0,0,0,0,0,0
"FAM90A18P",0,0,0,0,0,0
"FAM90A19P",0,0,0,0,0,0
"FAM90A20P",0,0,0,0,0,0
"FAM90A21P",0,0,0,0,0,0
"FAM90A22P",0,0,0,0,0,0
"FAM90A23P",0,0,0,0,0,0
"FAM90A24P",0,1,0,0,0,0
"FAM90A25P",7,5,4,2,1,3
"FAM90A26",1,1,0,0,0,0
"FAM90A27P",0,0,0,0,0,0
"FAM90A28P",2,0,1,0,0,0
"FAM90A2P",8,7,4,6,10,1
"FAM90A3P",0,0,0,0,0,0
"FAM90A4P",0,0,0,0,0,0
"FAM90A5P",0,0,0,0,0,0
"FAM90A6P",0,0,0,0,0,0
"FAM90A7P",0,0,0,0,0,0
"FAM90A8P",0,0,0,0,0,0
"FAM90A9P",0,0,0,0,0,0
"FAM91A1",9716,7690,10769,7355,7657,6402
"FAM91A3P",22,14,22,7,9,14
"FAM92A1",245,175,250,0,1,0
"FAM92A1P1",6,2,4,0,0,0
"FAM92A1P2",0,0,0,0,0,0
"FAM92B",10,5,6,5,3,0
"FAM95B1",0,0,0,3,4,1
"FAM95C",0,0,0,0,0,0
"FAM96A",4843,3471,4909,1683,1834,1451
"FAM96AP1",0,0,0,0,0,0
"FAM96AP2",12,6,8,0,0,0
"FAM96B",4060,2752,4098,2062,2027,1717
"FAM98A",9790,7135,10634,3647,3936,3166
"FAM98B",6002,4438,6660,3984,4076,3169
"FAM98C",2481,1850,2479,612,596,509
"FAM99A",0,0,0,0,0,0
"FAM99B",0,0,0,0,0,0
"FAM9A",0,0,1,0,0,0
"FAM9B",34,23,32,4,6,1
"FAM9C",1,0,0,0,1,0
"FAN1",9112,6885,9807,2204,2292,1888
"FANCA",15682,12186,16765,5146,5453,4817
"FANCB",1448,1168,1642,287,330,283
"FANCC",3810,2744,3832,1246,1311,1035
"FANCD2",13076,9969,13974,3351,3666,2895
"FANCD2OS",3,2,1,0,0,2
"FANCD2P2",7,2,9,1,2,1
"FANCE",4900,3354,5417,1318,1366,1196
"FANCF",3315,2574,3744,1238,1279,1105
"FANCG",8157,5978,8712,2329,2365,2132
"FANCI",21658,15794,23202,7408,7340,6309
"FANCL",982,694,957,1487,1623,1338
"FANCM",3175,2492,3686,638,665,585
"FANK1",44,24,41,0,0,0
"FANK1-AS1",0,0,0,0,0,0
"FAP",8,16,7,2,0,0
"FAR1",13837,10706,14632,3750,4201,3350
"FAR1-IT1",8,1,6,2,3,1
"FAR1P1",3,0,0,1,0,0
"FAR2",1433,1089,1475,842,842,716
"FAR2P1",0,0,0,0,0,0
"FAR2P2",0,3,1,0,0,0
"FAR2P3",1,0,0,0,0,0
"FAR2P4",0,0,0,1,0,0
"FARP1",127,122,149,9099,9365,7900
"FARP1-AS1",40,25,43,0,1,0
"FARP2",5864,4444,6326,3106,3162,2698
"FARS2",1177,887,1298,609,659,529
"FARSA",9346,6426,9836,4565,4576,3986
"FARSA-AS1",2,0,2,0,1,0
"FARSB",10620,8045,11641,5346,5850,4738
"FARSBP1",3,3,9,1,0,1
"FAS",319,189,286,121,96,104
"FASLG",82,61,78,0,0,0
"FASN",51782,38897,53329,21082,20960,19074
"FASTK",6427,4515,6682,3127,3182,2779
"FASTKD1",5769,4306,6490,2788,2907,2367
"FASTKD2",6739,4997,7367,2065,2143,1766
"FASTKD3",4288,3276,4635,1145,1259,995
"FASTKD5",4893,3418,5098,1524,1593,1237
"FAT1",3439,2454,2966,19611,20857,18254
"FAT1P1",0,0,0,0,0,0
"FAT2",14,5,46,0,0,0
"FAT3",0,1,1,0,0,0
"FAT4",2,0,2,0,0,0
"FATE1",0,0,0,0,0,0
"FAU",16993,11699,16630,6803,6640,5219
"FAUP1",48,34,39,31,33,9
"FAUP2",0,0,0,0,0,0
"FAXC",4,3,3,0,0,0
"FAXDC2",27,27,32,11,11,9
"FBF1",878,649,957,312,243,243
"FBL",32974,22593,32212,9990,10373,8592
"FBLIM1",3,1,6,0,0,0
"FBLL1",69,37,70,47,58,45
"FBLN1",66,39,77,1294,1258,1080
"FBLN2",7,2,10,0,1,1
"FBLN5",10,7,8,65,64,73
"FBLN7",1107,870,1111,1,1,4
"FBN1",59,65,64,236,226,223
"FBN2",5,2,0,59,62,46
"FBN3",7,14,8,0,1,0
"FBP1",0,3,0,0,0,0
"FBP2",0,0,0,0,0,0
"FBP2P1",0,0,0,0,0,0
"FBRS",9618,6958,10208,5330,5058,4440
"FBRSL1",27772,20487,27585,8974,9449,8086
"FBXL12",2502,1849,2546,848,872,793
"FBXL13",76,52,93,26,28,22
"FBXL14",2561,1858,2530,646,720,547
"FBXL15",1360,900,1182,192,216,156
"FBXL16",268,175,215,536,528,486
"FBXL17",1418,1109,1464,1254,1370,1087
"FBXL18",1192,940,1285,387,461,401
"FBXL19",5657,3868,5683,3493,3506,3038
"FBXL19-AS1",657,558,851,191,220,216
"FBXL2",140,113,140,0,3,2
"FBXL20",2570,1811,2386,1138,1214,1050
"FBXL21",0,0,0,0,0,0
"FBXL22",31,20,28,13,14,20
"FBXL3",5937,4447,6174,2145,2324,1796
"FBXL4",2624,1980,2822,913,926,815
"FBXL5",3252,2393,3687,1089,1117,937
"FBXL6",4638,3270,4572,2209,2311,2022
"FBXL7",1,2,1,0,0,0
"FBXL8",329,242,279,592,617,531
"FBXO10",629,414,577,216,234,170
"FBXO11",4973,3528,5210,5567,5785,4562
"FBXO15",17,24,36,34,37,37
"FBXO16",191,154,174,28,42,26
"FBXO17",3,2,2,0,0,0
"FBXO18",7924,5680,8431,4033,4154,3464
"FBXO2",5,0,6,2,1,0
"FBXO21",1086,794,1081,2292,2414,1985
"FBXO22",4763,3908,5326,1227,1327,1086
"FBXO24",30,29,32,21,21,30
"FBXO25",509,384,487,895,885,774
"FBXO27",0,0,0,0,0,0
"FBXO28",5330,3964,5700,3005,3039,2432
"FBXO3",3548,2713,3738,1449,1486,1235
"FBXO3-AS1",0,0,1,0,0,0
"FBXO30",2642,2154,2917,1700,1739,1476
"FBXO31",6227,4367,6275,1798,1861,1668
"FBXO32",22,17,36,308,288,229
"FBXO33",4310,3098,4415,1202,1288,965
"FBXO34",7612,5502,7703,1400,1398,1238
"FBXO36",299,242,323,66,92,83
"FBXO36-IT1",0,0,0,0,0,0
"FBXO36P1",0,0,0,1,0,1
"FBXO38",2387,1749,2588,2533,2585,2100
"FBXO39",17,15,33,3,1,4
"FBXO4",1156,834,1122,753,835,637
"FBXO40",0,0,0,0,0,0
"FBXO41",19366,14417,19933,7532,7627,6669
"FBXO42",4099,3124,4370,1579,1726,1444
"FBXO43",718,610,795,138,133,119
"FBXO44",10,6,14,0,0,1
"FBXO45",6567,4785,6965,2205,2272,1825
"FBXO46",2915,2008,2913,1375,1354,1167
"FBXO47",0,0,0,0,0,0
"FBXO48",646,465,717,238,234,224
"FBXO5",6908,5059,7224,2773,2726,2260
"FBXO6",56,39,46,162,145,115
"FBXO7",9930,7226,10485,4891,4948,4110
"FBXO8",900,703,960,409,482,373
"FBXO9",6157,4343,6467,2932,3184,2684
"FBXW10",1,1,0,1,1,1
"FBXW11",5548,4086,6180,3712,3655,3121
"FBXW11P1",18,9,17,4,3,5
"FBXW12",0,2,6,0,1,0
"FBXW2",14523,10778,15301,4621,4947,4136
"FBXW4",2762,1982,2824,1067,1082,908
"FBXW4P1",226,159,203,56,72,40
"FBXW5",7602,5410,7755,3382,3284,2898
"FBXW7",4506,3362,4820,53797,57722,47239
"FBXW8",3337,2543,3868,2220,2416,1941
"FBXW9",1407,1031,1431,272,298,250
"FCAMR",0,0,0,1,2,0
"FCAR",2,0,0,0,0,1
"FCER1A",0,0,0,0,0,0
"FCER1G",15,9,12,203,204,169
"FCER2",105,65,116,0,0,3
"FCF1",8517,6344,8965,2377,2376,1920
"FCF1P1",2,2,2,2,3,3
"FCF1P10",0,0,0,0,0,0
"FCF1P2",619,380,730,194,187,171
"FCF1P3",1,0,0,0,0,0
"FCF1P4",0,0,0,0,0,0
"FCF1P5",1,0,1,0,0,0
"FCF1P6",6,4,2,1,0,0
"FCF1P7",2,4,5,0,1,0
"FCF1P8",0,0,1,1,0,0
"FCF1P9",0,0,0,0,0,0
"FCGBP",19,15,16,33,41,23
"FCGR1A",2,1,2,1,0,0
"FCGR1B",0,0,0,0,0,0
"FCGR1CP",0,0,0,0,0,0
"FCGR2A",832,570,946,0,0,0
"FCGR2B",1,0,1,106,88,124
"FCGR2C",0,0,2,0,1,5
"FCGR3A",1,0,0,0,0,0
"FCGR3B",0,0,0,0,0,0
"FCGRT",350,255,352,57,55,59
"FCHO1",5726,4343,6352,842,844,751
"FCHO2",420,338,418,0,0,0
"FCHSD1",3,2,1,0,1,0
"FCHSD2",7351,5365,8197,3436,3563,3039
"FCMR",101,89,95,2428,2539,2107
"FCN1",0,1,0,0,0,0
"FCN2",0,0,0,0,0,0
"FCN3",1,0,0,0,0,0
"FCRL1",0,0,0,0,0,0
"FCRL2",0,0,1,0,0,0
"FCRL3",0,1,0,0,0,0
"FCRL4",0,0,0,0,0,0
"FCRL5",8,3,9,1,0,0
"FCRL6",0,0,0,0,0,0
"FCRLA",1878,1330,1958,39,41,36
"FCRLB",99,89,92,77,64,71
"FDCSP",0,0,0,0,0,0
"FDFT1",13194,9431,13733,9682,9947,8270
"FDPS",18348,13050,19448,6648,7048,5864
"FDPSP1",2,2,1,1,0,0
"FDPSP2",0,0,0,0,0,0
"FDPSP3",2,2,5,0,0,0
"FDPSP4",5,1,0,1,0,0
"FDPSP5",3,3,6,0,0,1
"FDPSP6",0,0,0,0,0,0
"FDPSP7",1,2,0,0,1,0
"FDPSP8",9,13,18,4,7,4
"FDX1",2924,2063,2835,1769,1882,1503
"FDX1P1",6,2,4,2,3,1
"FDX1P2",0,0,0,0,0,0
"FDX2",5,6,7,2,4,0
"FDXACB1",499,429,560,110,131,127
"FDXR",1828,1281,1899,541,504,420
"FECH",2774,1980,2802,95,92,90
"FECHP1",0,0,0,0,0,0
"FEM1A",13312,9368,13399,2836,2886,2433
"FEM1AP1",0,0,0,0,0,0
"FEM1AP2",4,6,5,3,2,1
"FEM1AP3",0,0,0,0,0,0
"FEM1AP4",0,0,5,0,1,0
"FEM1B",15325,11563,15965,4109,4511,3640
"FEM1C",3293,2420,3349,1147,1103,875
"FEN1",20269,14026,21013,5987,5858,4967
"FEN1P1",5,7,6,0,6,3
"FENDRR",0,0,0,0,0,0
"FER",2987,2322,3144,2048,2050,1697
"FER1L4",87,56,84,323,336,289
"FER1L5",5,1,4,0,0,0
"FER1L6",4,6,1,0,0,0
"FER1L6-AS1",0,0,0,0,0,0
"FER1L6-AS2",1,0,0,0,1,0
"FERD3L",0,0,0,0,0,0
"FERMT1",1,3,2,1165,1257,1079
"FERMT2",996,728,1079,129,122,96
"FERMT3",22243,16065,22814,9366,9159,8281
"FERP1",6,3,4,1,1,2
"FES",35,19,42,1627,1662,1471
"FETUB",0,0,0,0,0,0
"FEV",0,0,0,0,0,0
"FEZ1",25,20,24,1,0,0
"FEZ2",3568,2518,3517,1451,1511,1211
"FEZF1",0,0,0,0,0,0
"FEZF1-AS1",0,0,0,0,0,0
"FEZF2",0,0,0,0,0,0
"FFAR1",166,111,106,30,31,24
"FFAR2",0,0,1,0,0,0
"FFAR3",1,3,1,0,0,0
"FFAR4",0,1,0,0,0,0
"FGA",0,0,0,0,0,0
"FGB",0,0,0,1,0,0
"FGD1",22,18,23,610,629,563
"FGD2",128,96,134,3870,3884,3171
"FGD3",1451,1052,1449,661,726,646
"FGD4",212,171,250,758,765,651
"FGD5",18,13,12,4,2,2
"FGD5-AS1",12085,8897,13481,6151,6394,5199
"FGD5P1",0,0,0,0,0,0
"FGD6",2677,2078,3042,491,511,394
"FGF1",2,0,2,0,0,0
"FGF10",0,0,0,0,0,0
"FGF10-AS1",0,0,0,0,0,0
"FGF11",115,80,118,37,42,41
"FGF12",0,1,1,0,0,0
"FGF12-AS1",0,0,0,0,0,0
"FGF12-AS2",0,0,0,0,0,0
"FGF12-AS3",0,0,0,0,0,0
"FGF13",1,0,0,0,0,0
"FGF13-AS1",0,0,0,0,0,0
"FGF14",2,2,7,0,0,0
"FGF14-AS1",0,0,0,0,0,0
"FGF14-AS2",0,0,0,0,1,0
"FGF14-IT1",0,0,0,0,0,0
"FGF16",0,0,0,0,0,0
"FGF17",115,75,111,212,221,207
"FGF18",69,52,66,4,2,8
"FGF19",2,1,2,0,0,0
"FGF2",0,0,0,0,0,0
"FGF20",0,0,0,0,0,0
"FGF21",3,1,0,0,0,0
"FGF22",0,1,1,3,5,2
"FGF23",0,0,0,1,3,0
"FGF3",0,0,0,0,0,0
"FGF4",0,0,0,0,0,0
"FGF5",1,0,1,0,0,0
"FGF6",7,8,4,0,1,2
"FGF7",2,0,2,3,3,0
"FGF7P1",0,0,0,0,0,0
"FGF7P2",0,0,0,0,0,0
"FGF8",36,30,46,2,2,2
"FGF9",600,421,639,1332,1399,1167
"FGFBP1",0,0,0,0,0,0
"FGFBP2",2,0,0,0,0,0
"FGFBP3",1073,749,1031,186,163,150
"FGFR1",6197,4635,6785,10818,11197,9436
"FGFR1OP",1799,1318,1764,716,844,763
"FGFR1OP2",5503,4159,5873,2593,2643,2134
"FGFR1OP2P1",0,0,0,0,0,0
"FGFR2",1,1,5,1077,1037,954
"FGFR3",0,0,0,0,0,0
"FGFR3P1",0,0,0,0,0,0
"FGFR3P5",0,0,0,0,0,0
"FGFR3P6",0,0,0,0,0,0
"FGFR4",131,96,123,68,70,47
"FGFRL1",3147,2080,3190,1331,1405,1231
"FGG",0,0,0,0,0,0
"FGGY",321,239,345,257,238,187
"FGL1",1,0,0,0,0,1
"FGL2",2,1,1,0,1,3
"FGR",9,5,5,10,2,3
"FH",11404,8527,12184,7145,7671,6268
"FHAD1",7,12,15,3,1,3
"FHDC1",102,67,123,130,141,145
"FHIT",861,595,841,21,25,19
"FHL1",1999,1541,2195,4452,4764,3814
"FHL2",11,1,2,0,0,0
"FHL3",507,391,524,545,572,500
"FHL5",0,0,0,0,0,0
"FHOD1",5547,4076,6019,2487,2391,2159
"FHOD3",1303,975,1440,125,158,127
"FHP1",5,3,12,9,12,7
"FIBCD1",4,2,6,24,16,9
"FIBIN",1,1,1,0,0,0
"FIBP",6866,4821,7120,2965,2897,2596
"FICD",410,306,448,113,128,104
"FIG4",795,601,848,152,149,134
"FIGLA",0,0,0,0,0,0
"FIGN",0,0,0,0,3,0
"FIGNL1",8343,6400,9275,2639,2711,2115
"FIGNL2",0,1,1,0,0,0
"FILIP1",1,1,2,1,6,3
"FILIP1L",6,1,5,80,93,82
"FIP1L1",4776,3428,5156,1734,1662,1439
"FIRRE",1845,1482,2090,1402,1536,1235
"FIS1",4340,2985,4285,2417,2215,1987
"FITM1",39,36,32,3,11,8
"FITM2",1786,1402,2006,549,537,437
"FIZ1",3532,2551,3670,808,871,740
"FJX1",4484,3129,4167,1980,1999,1622
"FKBP10",23,27,39,82,78,69
"FKBP11",6320,4560,6342,1360,1414,1264
"FKBP14",1064,920,1165,540,681,524
"FKBP15",7516,5701,8578,2964,3162,2550
"FKBP1A",17244,12898,17833,7993,8252,6632
"FKBP1AP2",0,0,0,0,0,0
"FKBP1AP3",1,0,3,1,0,0
"FKBP1B",63,38,62,3,3,1
"FKBP1C",119,85,103,82,70,54
"FKBP2",2301,1620,2408,869,848,730
"FKBP3",9430,6841,9808,4897,5093,3903
"FKBP4",3619,2481,3671,2363,2363,1947
"FKBP4P1",0,1,0,0,1,0
"FKBP4P2",0,0,0,0,0,0
"FKBP4P6",0,0,0,0,0,0
"FKBP4P7",0,0,0,0,0,0
"FKBP4P8",0,0,0,0,0,0
"FKBP5",16885,12954,18784,55833,57402,47348
"FKBP6",0,0,0,0,0,0
"FKBP7",954,656,1039,425,438,353
"FKBP8",12488,8699,12079,4571,4440,3892
"FKBP9",11,3,9,5,8,4
"FKBP9P1",0,0,1,0,0,0
"FKBPL",675,485,723,203,160,182
"FKRP",3499,2451,3291,1030,1031,943
"FKTN",3403,2745,3850,1288,1350,1098
"FLAD1",5809,4324,6250,1813,1881,1608
"FLCN",3219,2340,3274,853,867,779
"FLG",0,0,0,0,0,0
"FLG-AS1",2,0,0,0,1,0
"FLG2",0,0,0,0,0,0
"FLI1",14501,10448,15631,19829,20166,16744
